ID	Sex	Group	Dose
ACK-F1	F	CK	ACK
ACK-F2	F	CK	ACK
ACK-F3	F	CK	ACK
ACK-M1	M	CK	ACK
ACK-M2	M	CK	ACK
ACK-M3	M	CK	ACK
EL-F1-L	F	E-liquid	EL-L
EL-F3-L	F	E-liquid	EL-L
EL-F6-L	F	E-liquid	EL-L
EL-F7-M	F	E-liquid	EL-M
EL-F8-M	F	E-liquid	EL-M
EL-F9-M	F	E-liquid	EL-M
EL-F13-H	F	E-liquid	EL-H
EL-F14-H	F	E-liquid	EL-H
EL-F15-H	F	E-liquid	EL-H
EL-M1-L	M	E-liquid	EL-L
EL-M2-L	M	E-liquid	EL-L
EL-M3-L	M	E-liquid	EL-L
EL-M7-M	M	E-liquid	EL-M
EL-M8-M	M	E-liquid	EL-M
EL-M9-M	M	E-liquid	EL-M
EL-M13-H	M	E-liquid	EL-H
EL-M14-H	M	E-liquid	EL-H
EL-M15-H	M	E-liquid	EL-H
Cig-F1-L	F	Cigarette	Cig-L
Cig-F2-L	F	Cigarette	Cig-L
Cig-F3-L	F	Cigarette	Cig-L
Cig-F7-M	F	Cigarette	Cig-M
Cig-F8-M	F	Cigarette	Cig-M
Cig-F13-H	F	Cigarette	Cig-H
Cig-F14-H	F	Cigarette	Cig-H
Cig-F15-H	F	Cigarette	Cig-H
Cig-M1-L	M	Cigarette	Cig-L
Cig-M2-L	M	Cigarette	Cig-L
Cig-M3-L	M	Cigarette	Cig-L
Cig-M7-M	M	Cigarette	Cig-M
Cig-M8-M	M	Cigarette	Cig-M
Cig-M9-M	M	Cigarette	Cig-M
Cig-M13-H	M	Cigarette	Cig-H
Cig-M14-H	M	Cigarette	Cig-H
Cig-M15-H	M	Cigarette	Cig-H
