individual	tax	abundance	group
RGR1	Otu250	0.0	r
RGO1	Otu250	0.0	r
RYE2	Otu250	0.0	r
RWH2	Otu250	0.0	r
RYE1	Otu250	0.0	r
RBL2	Otu250	0.0	r
RGR2	Otu250	0.0	r
RGO2	Otu250	0.0	r
YYE1	Otu250	0.0	y
YWH1	Otu250	0.0	y
RWH1	Otu250	0.0	r
YBL1	Otu250	0.0	y
YGR1	Otu250	0.0	y
YGO1	Otu250	0.0	y
YYE2	Otu250	0.0	y
YWH2	Otu250	0.0	y
YBL2	Otu250	0.0	y
YGR2	Otu250	0.0	y
YGO2	Otu250	0.0	y
RBL1	Otu250	0.0	r
E28	Otu250	0.0	zzs
E29	Otu250	0.0	zzd
RC4	Otu250	0.0	r
YC1	Otu250	0.0	y
YC2	Otu250	0.0	y
YC3	Otu250	0.0	y
YC4	Otu250	0.0	y
R1M1	Otu250	0.0	r
R2M1	Otu250	0.0	r
Y1M1	Otu250	0.0	y
Y2M1	Otu250	0.0	y
RC5	Otu250	0.0	r
RC6	Otu250	0.0	r
RC7	Otu250	3.868172675228222e-05	r
YC5	Otu250	0.0	y
YC6	Otu250	0.0	y
YC7	Otu250	0.0	y
R3M2	Otu250	0.0	r
R4M2	Otu250	0.0	r
Y3M2	Otu250	0.0	y
Y4M2	Otu250	0.0	y
RC1	Otu250	0.0	r
RC2	Otu250	0.0	r
RC3	Otu250	0.0	r
YQ1	Otu250	0.0	y
RQ1	Otu250	0.0	r
Y0J1	Otu250	9.142021300909631e-05	yj
R0J1	Otu250	0.0	rj
Y0J2	Otu250	0.0	yj
R0J2	Otu250	0.0	rj
YQ2	Otu250	0.0	y
RQ2	Otu250	0.0	r
YQ3	Otu250	0.0	y
RQ3	Otu250	0.0	r
Y0J3	Otu250	0.00043419738613173546	yj
R0J3	Otu250	0.0	rj
Y7J1	Otu250	0.0014237525737065757	yj
R7J1	Otu250	0.0009163558870538093	rj
RGR1	Otu25	0.0	r
RGO1	Otu25	0.0	r
RYE2	Otu25	0.0	r
RWH2	Otu25	0.025	r
RYE1	Otu25	3.761944172748476e-05	r
RBL2	Otu25	0.0	r
RGR2	Otu25	0.021739130434782608	r
RGO2	Otu25	0.0	r
YYE1	Otu25	0.0	y
YWH1	Otu25	0.0	y
RWH1	Otu25	0.0	r
YBL1	Otu25	0.0	y
YGR1	Otu25	0.0	y
YGO1	Otu25	0.00016552180749813787	y
YYE2	Otu25	0.00011737433610141142	y
YWH2	Otu25	0.008358996920369555	y
YBL2	Otu25	2.4285402044830854e-05	y
YGR2	Otu25	0.0011534025374855825	y
YGO2	Otu25	3.8890833430560414e-05	y
RBL1	Otu25	0.0	r
E28	Otu25	0.0	zzs
E29	Otu25	0.0	zzd
RC4	Otu25	0.0	r
YC1	Otu25	6.077795786061588e-05	y
YC2	Otu25	0.0	y
YC3	Otu25	0.0	y
YC4	Otu25	0.0	y
R1M1	Otu25	3.556440714133296e-05	r
R2M1	Otu25	2.7615917815028584e-05	r
Y1M1	Otu25	0.0	y
Y2M1	Otu25	4.044325810887325e-05	y
RC5	Otu25	0.00018351991191044228	r
RC6	Otu25	0.0	r
RC7	Otu25	0.0	r
YC5	Otu25	0.0	y
YC6	Otu25	0.0	y
YC7	Otu25	0.0	y
R3M2	Otu25	6.858710562414266e-05	r
R4M2	Otu25	0.0	r
Y3M2	Otu25	9.533433752168856e-05	y
Y4M2	Otu25	0.0	y
RC1	Otu25	2.766328252510443e-05	r
RC2	Otu25	0.0	r
RC3	Otu25	0.0	r
YQ1	Otu25	0.0003148885008444737	y
RQ1	Otu25	6.01304831484321e-05	r
Y0J1	Otu25	0.03688805594917036	yj
R0J1	Otu25	0.010601870143553273	rj
Y0J2	Otu25	0.010255839822024472	yj
R0J2	Otu25	0.004686889727900013	rj
YQ2	Otu25	0.00015335463258785942	y
RQ2	Otu25	9.048681908668638e-05	r
YQ3	Otu25	0.00029957310832064306	y
RQ3	Otu25	0.00032535137948984903	r
Y0J3	Otu25	0.002670313924710173	yj
R0J3	Otu25	0.0009351078636047321	rj
Y7J1	Otu25	0.037368029088360274	yj
R7J1	Otu25	0.021204049014384656	rj
RGR1	Otu21	0.0	r
RGO1	Otu21	3.180256964762753e-05	r
RYE2	Otu21	0.0005993570533427778	r
RWH2	Otu21	0.025	r
RYE1	Otu21	3.761944172748476e-05	r
RBL2	Otu21	5.243838489774515e-05	r
RGR2	Otu21	0.021739130434782608	r
RGO2	Otu21	0.0	r
YYE1	Otu21	0.0	y
YWH1	Otu21	0.00046117137529324485	y
RWH1	Otu21	0.0	r
YBL1	Otu21	0.0006045949214026602	y
YGR1	Otu21	0.0	y
YGO1	Otu21	0.00022759248530993957	y
YYE2	Otu21	0.0001467179201267643	y
YWH2	Otu21	0.000251398403620137	y
YBL2	Otu21	4.857080408966171e-05	y
YGR2	Otu21	0.0	y
YGO2	Otu21	0.0001944541671528021	y
RBL1	Otu21	0.0	r
E28	Otu21	0.0	zzs
E29	Otu21	0.0	zzd
RC4	Otu21	2.1092151610385776e-05	r
YC1	Otu21	0.0	y
YC2	Otu21	0.0	y
YC3	Otu21	0.0	y
YC4	Otu21	0.0	y
R1M1	Otu21	0.0	r
R2M1	Otu21	0.0	r
Y1M1	Otu21	0.0	y
Y2M1	Otu21	0.0	y
RC5	Otu21	0.00018351991191044228	r
RC6	Otu21	0.0	r
RC7	Otu21	0.0061890762803651555	r
YC5	Otu21	0.0	y
YC6	Otu21	0.0	y
YC7	Otu21	0.0	y
R3M2	Otu21	0.00013717421124828533	r
R4M2	Otu21	0.0	r
Y3M2	Otu21	3.8133735008675426e-05	y
Y4M2	Otu21	2.5353683890269257e-05	y
RC1	Otu21	0.0	r
RC2	Otu21	0.00018828845791752966	r
RC3	Otu21	0.0	r
YQ1	Otu21	0.0	y
RQ1	Otu21	3.006524157421605e-05	r
Y0J1	Otu21	0.01289025003428258	yj
R0J1	Otu21	0.008889766890557092	rj
Y0J2	Otu21	0.0020022246941045607	yj
R0J2	Otu21	0.0006943540337629649	rj
YQ2	Otu21	0.0	y
RQ2	Otu21	0.0	r
YQ3	Otu21	2.4964425693386923e-05	y
RQ3	Otu21	3.25351379489849e-05	r
Y0J3	Otu21	0.005861664712778429	yj
R0J3	Otu21	0.010112212943632569	rj
Y7J1	Otu21	0.05480352214482849	yj
R7J1	Otu21	0.09442727757059137	rj
RGR1	Otu20	2.6066783098297837e-05	r
RGO1	Otu20	0.00012721027859051011	r
RYE2	Otu20	0.0002996785266713889	r
RWH2	Otu20	0.025	r
RYE1	Otu20	0.0003009555338198781	r
RBL2	Otu20	0.0	r
RGR2	Otu20	0.0	r
RGO2	Otu20	2.2102866741816414e-05	r
YYE1	Otu20	0.00031744142213757117	y
YWH1	Otu20	0.0007418843863413069	y
RWH1	Otu20	0.0	r
YBL1	Otu20	0.00020153164046755341	y
YGR1	Otu20	0.0	y
YGO1	Otu20	0.0021724737234130598	y
YYE2	Otu20	5.868716805070571e-05	y
YWH2	Otu20	0.0546791527873798	y
YBL2	Otu20	0.00012142701022415426	y
YGR2	Otu20	0.0	y
YGO2	Otu20	0.0010500525026251313	y
RBL1	Otu20	0.00017229496898690558	r
E28	Otu20	0.0	zzs
E29	Otu20	0.0	zzd
RC4	Otu20	0.0	r
YC1	Otu20	0.0	y
YC2	Otu20	0.0	y
YC3	Otu20	0.0	y
YC4	Otu20	0.0	y
R1M1	Otu20	0.0	r
R2M1	Otu20	0.0	r
Y1M1	Otu20	0.0	y
Y2M1	Otu20	0.0	y
RC5	Otu20	0.0005505597357313268	r
RC6	Otu20	0.0	r
RC7	Otu20	0.0006575893547887978	r
YC5	Otu20	0.0	y
YC6	Otu20	0.0	y
YC7	Otu20	0.0	y
R3M2	Otu20	0.0	r
R4M2	Otu20	0.0	r
Y3M2	Otu20	0.0	y
Y4M2	Otu20	0.0	y
RC1	Otu20	0.0	r
RC2	Otu20	0.0	r
RC3	Otu20	0.0	r
YQ1	Otu20	0.0	y
RQ1	Otu20	0.0001202609662968642	r
Y0J1	Otu20	0.0002514055857750149	yj
R0J1	Otu20	0.00042802581324904516	rj
Y0J2	Otu20	0.0008453837597330367	yj
R0J2	Otu20	0.0017358850844074122	rj
YQ2	Otu20	2.5559105431309903e-05	y
RQ2	Otu20	0.00030162273028895456	r
YQ3	Otu20	0.0	y
RQ3	Otu20	0.00029281624154086413	r
Y0J3	Otu20	0.003061091572228735	yj
R0J3	Otu20	0.008176757132915796	rj
Y7J1	Otu20	0.0007228282297279537	yj
R7J1	Otu20	0.0077996803409696325	rj
RGR1	Otu63	0.0	r
RGO1	Otu63	3.180256964762753e-05	r
RYE2	Otu63	2.7243502424671715e-05	r
RWH2	Otu63	0.0	r
RYE1	Otu63	0.0	r
RBL2	Otu63	0.0	r
RGR2	Otu63	0.0	r
RGO2	Otu63	0.0	r
YYE1	Otu63	3.9680177767196396e-05	y
YWH1	Otu63	0.0	y
RWH1	Otu63	0.0	r
YBL1	Otu63	0.0	y
YGR1	Otu63	0.0	y
YGO1	Otu63	0.0	y
YYE2	Otu63	0.0	y
YWH2	Otu63	2.094986696834475e-05	y
YBL2	Otu63	0.0	y
YGR2	Otu63	0.0	y
YGO2	Otu63	0.0	y
RBL1	Otu63	0.0	r
E28	Otu63	0.0	zzs
E29	Otu63	0.0	zzd
RC4	Otu63	0.0	r
YC1	Otu63	0.0	y
YC2	Otu63	0.0	y
YC3	Otu63	0.0	y
YC4	Otu63	0.0	y
R1M1	Otu63	0.0	r
R2M1	Otu63	0.0	r
Y1M1	Otu63	0.0	y
Y2M1	Otu63	0.0	y
RC5	Otu63	0.0	r
RC6	Otu63	0.0	r
RC7	Otu63	7.736345350456444e-05	r
YC5	Otu63	0.0	y
YC6	Otu63	0.0	y
YC7	Otu63	0.0	y
R3M2	Otu63	0.0	r
R4M2	Otu63	0.0	r
Y3M2	Otu63	0.0	y
Y4M2	Otu63	0.0	y
RC1	Otu63	0.0	r
RC2	Otu63	0.0	r
RC3	Otu63	0.0	r
YQ1	Otu63	0.0	y
RQ1	Otu63	0.0	r
Y0J1	Otu63	2.2855053252274078e-05	yj
R0J1	Otu63	6.585012511523772e-05	rj
Y0J2	Otu63	0.0	yj
R0J2	Otu63	2.1698563555092652e-05	rj
YQ2	Otu63	0.0	y
RQ2	Otu63	3.016227302889546e-05	r
YQ3	Otu63	0.0	y
RQ3	Otu63	0.0	r
Y0J3	Otu63	0.0	yj
R0J3	Otu63	0.00019572025052192068	rj
Y7J1	Otu63	0.0005037893722346344	yj
R7J1	Otu63	0.0017261587639850827	rj
RGR1	Otu111	0.0	r
RGO1	Otu111	3.180256964762753e-05	r
RYE2	Otu111	0.0	r
RWH2	Otu111	0.0	r
RYE1	Otu111	0.0	r
RBL2	Otu111	0.0	r
RGR2	Otu111	0.0	r
RGO2	Otu111	0.0	r
YYE1	Otu111	0.0	y
YWH1	Otu111	4.010185872115172e-05	y
RWH1	Otu111	0.0	r
YBL1	Otu111	0.0	y
YGR1	Otu111	0.0	y
YGO1	Otu111	0.0	y
YYE2	Otu111	0.0	y
YWH2	Otu111	0.00018854880271510275	y
YBL2	Otu111	0.0	y
YGR2	Otu111	0.0	y
YGO2	Otu111	0.0	y
RBL1	Otu111	0.0	r
E28	Otu111	0.0	zzs
E29	Otu111	0.0	zzd
RC4	Otu111	0.00023201366771424353	r
YC1	Otu111	0.0	y
YC2	Otu111	0.0	y
YC3	Otu111	0.0	y
YC4	Otu111	0.0	y
R1M1	Otu111	0.0	r
R2M1	Otu111	0.0	r
Y1M1	Otu111	0.0	y
Y2M1	Otu111	0.0	y
RC5	Otu111	0.0	r
RC6	Otu111	0.0	r
RC7	Otu111	0.0	r
YC5	Otu111	0.0	y
YC6	Otu111	0.0	y
YC7	Otu111	0.0	y
R3M2	Otu111	6.858710562414266e-05	r
R4M2	Otu111	0.0	r
Y3M2	Otu111	0.0	y
Y4M2	Otu111	0.0	y
RC1	Otu111	0.0	r
RC2	Otu111	0.0	r
RC3	Otu111	0.0	r
YQ1	Otu111	5.725245469899522e-05	y
RQ1	Otu111	0.00015032620787108024	r
Y0J1	Otu111	0.002445490697993326	yj
R0J1	Otu111	0.0056631107599104434	rj
Y0J2	Otu111	0.00040044493882091214	yj
R0J2	Otu111	0.0002820813262162045	rj
YQ2	Otu111	2.5559105431309903e-05	y
RQ2	Otu111	3.016227302889546e-05	r
YQ3	Otu111	0.0	y
RQ3	Otu111	9.760541384695471e-05	r
Y0J3	Otu111	0.00013025921583952066	yj
R0J3	Otu111	0.0008481210855949896	rj
Y7J1	Otu111	0.009374863100714066	yj
R7J1	Otu111	0.012914224826851358	rj
RGR1	Otu34	0.0	r
RGO1	Otu34	3.180256964762753e-05	r
RYE2	Otu34	5.448700484934343e-05	r
RWH2	Otu34	0.0	r
