	ACK-F1	ACK-F1-a	ACK-F2	ACK-F2-a	ACK-F3	ACK-F3-a	ACK-M1	ACK-M1-a	ACK-M2	ACK-M2-a	ACK-M3	ACK-M3-a	Cig-F1-L	Cig-F1-L-a	Cig-F13-H	Cig-F13-H-a	Cig-F14-H	Cig-F14-H-a	Cig-F15-H	Cig-F15-H-a	Cig-F2-L	Cig-F2-L-a	Cig-F3-L	Cig-F3-L-a	Cig-F7-M	Cig-F7-M-a	Cig-F8-M	Cig-F8-M-a	Cig-M1-L	Cig-M1-L-a	Cig-M13-H	Cig-M13-H-a	Cig-M14-H	Cig-M14-H-a	Cig-M15-H	Cig-M15-H-a	Cig-M2-L	Cig-M2-L-a	Cig-M3-L	Cig-M3-L-a	Cig-M7-M	Cig-M7-M-a	Cig-M8-M	Cig-M8-M-a	Cig-M9-M	Cig-M9-M-a	EL-F1-L	EL-F1-L-a	EL-F13-H	EL-F13-H-a	EL-F14-H	EL-F14-H-a	EL-F15-H	EL-F15-H-a	EL-F3-L	EL-F3-L-a	EL-F6-L	EL-F6-L-a	EL-F7-M	EL-F7-M-a	EL-F8-M	EL-F8-M-a	EL-F9-M	EL-F9-M-a	EL-M1-L	EL-M1-L-a	EL-M13-H	EL-M13-H-a	EL-M14-H	EL-M14-H-a	EL-M15-H	EL-M15-H-a	EL-M2-L	EL-M2-L-a	EL-M3-L	EL-M3-L-a	EL-M7-M	EL-M7-M-a	EL-M8-M	EL-M8-M-a	EL-M9-M	EL-M9-M-a
ACK-F1	0.0	0.7489852218252346	0.6571966378123821	0.7058434849862198	0.7278655167882241	0.7016517924815301	0.7436948339696686	0.7492426608680485	0.7246237252592345	0.7606475816206167	0.7648115059753223	0.7953679036480231	0.6770939321053809	0.7614514411028861	0.6927283076180365	0.8186347170220716	0.6276783573194598	0.7270072462244176	0.7283235163199012	0.7032971749514995	0.7464605108200262	0.8036928035336512	0.6186364068659781	0.7903274377431415	0.7254953877750521	0.7017499644612457	0.7450600717974946	0.7669358494698411	0.7833333938289525	0.8011317878495327	0.7918714121795816	0.7161681942181	0.7825442408506675	0.7992064153566951	0.7606468217926381	0.7613444438335957	0.7981733486391643	0.8322672501545003	0.7462575229605746	0.7990471118544167	0.7809322380465211	0.7006116810312002	0.8169162295491796	0.7897062636297223	0.774746226007602	0.7304548123680598	0.7367996041544842	0.7079289470822324	0.7286213486566718	0.7702668448685936	0.7257145202290689	0.7896312785926973	0.7020945880525776	0.7656589029522978	0.7312222553559388	0.684597727681042	0.7101581434640125	0.730321696830913	0.7057281431277631	0.793174163402777	0.7285940912450893	0.7661828112766698	0.7257381252513903	0.7574418046952889	0.7111303328326783	0.7798449706931206	0.80056695863574	0.7250257374487706	0.712681727822195	0.8196583222351163	0.7295827002862303	0.721439527782251	0.7801657511160626	0.7760033617998646	0.7836837304450215	0.7502860313687267	0.7571595428818494	0.7996303496745595	0.7402608150671506	0.7799682544327603	0.7232621201064763	0.7322941927190109
ACK-F1-a	0.7489852218252346	0.0	0.847094037009863	0.7328994640822689	0.7721942509608651	0.7551382196285414	0.8507537384190559	0.8742791257303876	0.8099677754070764	0.7727837276561648	0.8464965000281396	0.8423719190160273	0.81453811689323	0.8739621412129049	0.8343653235313623	0.8855506582246593	0.7614938995935162	0.8556686716459213	0.7808508613087847	0.7246206018407001	0.7530724684156996	0.8966926600056797	0.8047333571958941	0.7119794111535322	0.7741330781857815	0.8091020138700807	0.8398052444410128	0.8935391408455424	0.8877086459563794	0.7966822747862754	0.7500035308740061	0.8628151616424139	0.9026497080810112	0.7628633506065905	0.8879122123302041	0.8733418492643239	0.8079487898416865	0.8647719578368752	0.8980176782905672	0.803807206729001	0.9145408186768412	0.7596592148117319	0.8762518345802636	0.7975087718772343	0.8976242816731522	0.75923346555792	0.9072524669268367	0.7668419899517647	0.7317271597210756	0.7549789386507649	0.7603645206771613	0.8890847246226932	0.7263924379891179	0.8254276220914253	0.7490502579498494	0.7883781433451581	0.7736752804904888	0.7273973614108713	0.7817222902249102	0.7703451044650635	0.8231181500530388	0.8890389187131003	0.7930513692886141	0.8829100560229597	0.8018816745698711	0.8581253058935877	0.8120850557376109	0.7881180481671005	0.8650424612138999	0.8375986749925597	0.8457625313755192	0.8041413669040363	0.9027826873494248	0.8728945043353463	0.9291427967552454	0.7511877336052687	0.8151525183850052	0.8714293528366956	0.8683753366651429	0.9113481394102243	0.8285638804181905	0.849914110910717
ACK-F2	0.6571966378123821	0.847094037009863	0.0	0.7557237092519904	0.7594816827061707	0.8060671450073668	0.7208122373781825	0.7464111470689324	0.7031496106295564	0.7754990827361048	0.6874775661401819	0.7396076880294983	0.6503587534717105	0.6863545855451695	0.6466131480228196	0.809095304283573	0.6797737625764888	0.7575720159742808	0.7745792019719565	0.7561273765837973	0.7557062900886077	0.7653075465038329	0.6615875045091181	0.8260513313384293	0.8052661495095026	0.694373171859913	0.7441909031591396	0.6448894669832276	0.7202206631064393	0.8422128683800818	0.8313087376096665	0.7387321679687203	0.6614379998264944	0.8702249480328177	0.7076805522920745	0.7695390139436016	0.8424248217686012	0.8673272616861063	0.7036492100634888	0.8605998804100167	0.6912302797810137	0.769448125141506	0.7718066894898381	0.8541689750210147	0.6842814474756236	0.814957721640584	0.6708121067498455	0.7194769305800564	0.7885033104389859	0.8246692526356163	0.8215661197862718	0.7454417628490873	0.8304600409293811	0.8149135508238755	0.718435668869447	0.7736971334787157	0.7855907399008359	0.7138159550556401	0.7730594380118292	0.8200819377062001	0.6839864461221801	0.6800275154820189	0.7483107844221988	0.7101440876063024	0.7422958355890652	0.7928725629904626	0.8507596136985338	0.765557992255641	0.6664786499664817	0.8785108028785672	0.6971463773506819	0.8009442850556352	0.6761962543328699	0.7842083961354681	0.7171178594300455	0.8513848194822171	0.7582392528789108	0.8363295142425594	0.7198074384897583	0.7518593483640534	0.6724817953381103	0.7763322320302197
ACK-F2-a	0.7058434849862198	0.7328994640822689	0.7557237092519904	0.0	0.759338208932026	0.7190523300924075	0.7850212723588857	0.7941238178161677	0.765424766910975	0.7543344606558012	0.7914283398824783	0.8217057509045129	0.730233370695878	0.7974477252849617	0.7110044467878609	0.8209860258249915	0.6511911839449488	0.7600500918064887	0.7537560247679391	0.7104381274173882	0.7262390515633007	0.8114801158131081	0.7111741742523731	0.7610733879976339	0.739827108311427	0.77021670195874	0.7616492421492507	0.807504932976024	0.833547582868601	0.7806169836991504	0.7088459469893585	0.7463310013039188	0.8060305019745914	0.7905156239905938	0.7967387317733741	0.7902362495779064	0.7981873631491039	0.8119836760648352	0.8018983410829658	0.807358507592583	0.8346265896870952	0.6696944763559795	0.7796282101478048	0.7658655682081773	0.8031440746238333	0.6943506168207396	0.806526703388248	0.712279944812839	0.7824984278057029	0.7087030328790791	0.7661075209433565	0.8326042211423578	0.7352672394095727	0.7895243063187393	0.7535837352259349	0.6913885559690466	0.7425715787246772	0.704755007064926	0.7474285268904693	0.7663856191932713	0.767312890545223	0.8066439618054381	0.7374132934464857	0.8140801799957949	0.741948465496934	0.7756229012243261	0.7735762323754778	0.7331078449201572	0.7745337318944764	0.8014691668102887	0.7596015375557417	0.7432981299783447	0.8205384601535319	0.784385998689691	0.8221578917829815	0.7559025879463703	0.7539590309190811	0.8198131205280873	0.7952633711460608	0.8307363352606704	0.7695594082104458	0.7801951200697607
ACK-F3	0.7278655167882241	0.7721942509608651	0.7594816827061707	0.759338208932026	0.0	0.7407886600958744	0.7999531895724202	0.8601121254988819	0.8208491989257168	0.8391241264700607	0.8122068920765778	0.8759078427184168	0.7579202135852247	0.8692918026439324	0.7554883334620566	0.8504856028810465	0.7454992570363455	0.8465423140219627	0.7649434346291586	0.7552421390891436	0.7974379807840667	0.8569149561965915	0.7379709380228227	0.8218884459309864	0.7606942096322714	0.792467545226858	0.7924066982945118	0.8929468513677862	0.8849308249447421	0.8417640934277826	0.7854886371772873	0.8312949037750346	0.891103220540847	0.8341128012257265	0.8588793736998733	0.8766076598035093	0.8083539715536965	0.8521480678838047	0.8707474673972116	0.8192275297146427	0.8751919557010874	0.7797658934728325	0.8689190169269905	0.8144370639583088	0.8838567886583314	0.8142616053642471	0.8076332117028596	0.8248356255056813	0.7701198992547804	0.8015948378003743	0.8184942129054708	0.9025218955671438	0.767648257210101	0.8021483446958878	0.7245988367971951	0.7980713146305242	0.7537168553974518	0.7957803469690683	0.7746723027344995	0.8316441519305021	0.8519107449001677	0.8852052772802048	0.8025943514441085	0.8502501039253486	0.7648959905166413	0.8652224355979142	0.7873227996777367	0.7989236704324559	0.8002154027830676	0.863245943337137	0.8084999470282084	0.8153294515758109	0.8997356848756828	0.8708219347204679	0.8910324616717008	0.8228668247831031	0.7883746848082722	0.8507298278256509	0.841849072087213	0.8954601323141751	0.7868783589338603	0.8629644072783025
ACK-F3-a	0.7016517924815301	0.7551382196285414	0.8060671450073668	0.7190523300924075	0.7407886600958744	0.0	0.7837016561030766	0.8530798689006261	0.8311974542082369	0.8295955117485175	0.8528978791102683	0.8737660165415956	0.7663859098688776	0.8611196511064947	0.7755297416149474	0.8349146227956508	0.7406182685381242	0.8460880203782944	0.7197154570908845	0.7317403822239149	0.8254335604075239	0.855385143010051	0.7156175135398168	0.780525947707428	0.7025484446476186	0.7648158146722391	0.811869371724332	0.8729334411166205	0.877604257030138	0.827390539595628	0.805245175018631	0.8424376815856114	0.8797176543650433	0.831377155536118	0.8584768973445537	0.8726639430675394	0.8126892335083273	0.8484371931818239	0.8664059536825995	0.7870568231808337	0.8888852311277021	0.7857342412175545	0.851548247468937	0.7590339125917371	0.8784949916951756	0.7981702435843241	0.8408816665919769	0.8023198887131185	0.7371972820552039	0.7875824597996107	0.8107359066045035	0.8974787216224205	0.6522956935233717	0.7345225227171319	0.8097094027853099	0.7793966878308989	0.7397817586183082	0.7604826024247071	0.7365167970634382	0.7778192627328387	0.8350697199271092	0.8783817816269	0.7812351268139807	0.8362455706836411	0.7520665273334025	0.8511164354226932	0.7685897797413108	0.8078903557126925	0.8055231849903917	0.8393273250497739	0.8147032794135246	0.7808967019738289	0.9021628527708141	0.8406487534059618	0.8824060547348374	0.8269036338285892	0.7912616826282115	0.8483000135205837	0.8251484059856318	0.8855564909531979	0.819627753003016	0.8409444964355498
ACK-M1	0.7436948339696686	0.8507537384190559	0.7208122373781825	0.7850212723588857	0.7999531895724202	0.7837016561030766	0.0	0.6945745235933499	0.6684785192173242	0.7154835074662015	0.6077651488397241	0.8251032577127292	0.6659278414990147	0.6984523785470307	0.6913592360085714	0.8013677974456526	0.7518597491018799	0.7699840905521301	0.7349502611670103	0.684476800891669	0.7941025262757899	0.7011504259614877	0.7162252869228042	0.7381367814883912	0.7758630813523145	0.665675840895471	0.7664374217842475	0.7448012370339159	0.7604137959417773	0.7752236364347949	0.8101200929009073	0.7631567050136734	0.7397561789493309	0.8120222235552873	0.7059936174368391	0.7203046453875884	0.7530508160996723	0.8374317116145275	0.703704734353521	0.812323141852192	0.682894337152807	0.768690509759928	0.7225464099544182	0.7775874119578795	0.6800485574268845	0.8035175176995734	0.698225378204223	0.7622770481335336	0.7958342230617989	0.820736860793989	0.8012539767780223	0.784505956047035	0.8032380468833444	0.7319115327842733	0.7666321465550631	0.7848837647943271	0.7581410750602459	0.7005091807267914	0.738807413719237	0.7533100922297737	0.7206532611614139	0.7329287837496308	0.7222491710393176	0.6765041937334662	0.6621233112776397	0.7581324481701267	0.7253228569890633	0.7896611835203766	0.6263493487313401	0.8071185347489394	0.6998830988371523	0.7615374895780532	0.735092409071601	0.7174455885026847	0.7208015781724472	0.8345380025912038	0.5977007384250397	0.8088765673624365	0.6899980188265165	0.6909315919522498	0.6648338722849068	0.8039027648904393
ACK-M1-a	0.7492426608680485	0.8742791257303876	0.7464111470689324	0.7941238178161677	0.8601121254988819	0.8530798689006261	0.6945745235933499	0.0	0.6926357566257998	0.5888705232664971	0.5966729076063484	0.7078356111808098	0.7261459980629641	0.6436150299456949	0.7539877146212876	0.8370953053380166	0.7560266043385331	0.6302499796339717	0.8486137194746118	0.7411641210101926	0.7983869544187587	0.7627831667933894	0.7481416968647957	0.8451675272977206	0.8888133035070493	0.7680319399255567	0.744738819554397	0.6372599289489952	0.7274386936521117	0.7508674109502506	0.8133255730165619	0.6452101432744077	0.5892676161838936	0.7256693744880982	0.5940112700598724	0.6345933188551885	0.775937511233194	0.7812088904735708	0.5810191589730151	0.7960257200486378	0.6111037605347439	0.7023525570007684	0.6850288567265499	0.8282649810871207	0.6265605697419219	0.7158794289724716	0.6365426721612163	0.6929249320631244	0.8314938656331219	0.8252896781383707	0.8035815865345071	0.6975572572909081	0.8448191661099633	0.8206921832678938	0.7980805382605787	0.7132663592180889	0.842909087775223	0.7262429657281532	0.8183399980577283	0.8405564615855537	0.7054023170586969	0.6282857019596914	0.8113445969826685	0.7215581835846335	0.7073133567567396	0.5762082744892093	0.8791754430367464	0.7151243117824132	0.7073801651471665	0.7274536413599884	0.7499086948132977	0.6761090361307434	0.6234518084067959	0.6133583055055197	0.681007047440839	0.7915884175856899	0.7043399009010621	0.6914140119019977	0.7036353856998899	0.5815496143557991	0.6393260256423744	0.6092354059119593
ACK-M2	0.7246237252592345	0.8099677754070764	0.7031496106295564	0.765424766910975	0.8208491989257168	0.8311974542082369	0.6684785192173242	0.6926357566257998	0.0	0.6453173681124404	0.6408175181907442	0.7499233485039554	0.700176104177974	0.6628686544252529	0.7283967637904835	0.798893842307636	0.7563385323959013	0.7413358782961533	0.7985353071794905	0.7566737621004387	0.7401766746183928	0.7458600888402549	0.7760155032005105	0.819102902939515	0.827164318479786	0.728319736176687	0.7535360934633258	0.7097643123214389	0.7025909961750838	0.7944946438668662	0.7723323441361241	0.7445429506028853	0.6493423842097384	0.8039013298356914	0.6027203356457209	0.726718198135561	0.8114371589328169	0.7819327798922767	0.655093077562962	0.8161472799354105	0.6478296382968863	0.7701526649114429	0.6750700297418419	0.8304714609102072	0.6583214984293939	0.7617482046515174	0.6842120788344821	0.7224746744442395	0.7646099504157438	0.797353018004945	0.7703970487875091	0.6752090445835777	0.7998720673575416	0.8170665579198296	0.6846812449045566	0.7592326701527715	0.7983419483228466	0.7137994485198285	0.763299763572937	0.8256095672806285	0.6968212859827753	0.6846315223543601	0.7371905555414702	0.7067689378497816	0.6659862078241483	0.721092509997225	0.814931840840091	0.7304936046459599	0.7167941972024159	0.8050610165891308	0.7391210759279263	0.7699271177301596	0.6663871648009145	0.7091341189599026	0.7207633825322405	0.7547675002854378	0.715678203227464	0.7690927543724563	0.6649790888350126	0.6699349168903215	0.6520921471816269	0.742757458230073
ACK-M2-a	0.7606475816206167	0.7727837276561648	0.7754990827361048	0.7543344606558012	0.8391241264700607	0.8295955117485175	0.7154835074662015	0.5888705232664971	0.6453173681124404	0.0	0.7157670013643108	0.7502052039717906	0.7385542864282734	0.701847838907025	0.7617550789264655	0.8131887464511601	0.7597931876802337	0.6523039592788983	0.821198843992829	0.7188360870769763	0.7513887353486204	0.7528368663588713	0.7716504984359079	0.7411959332632311	0.8283352851595328	0.7310205134977705	0.7533311240365793	0.7270095638607693	0.7683543199598474	0.6564332519405437	0.7371396183868039	0.6442588903781392	0.7117319953605121	0.6863304666594137	0.6858432791984885	0.6212503594356024	0.7389442285569485	0.7224833185317151	0.7181428209179194	0.7412657237034743	0.7455947369038071	0.6569189565076168	0.7675749729782614	0.7770817879193049	0.7298409327173397	0.6879722352186108	0.7596787390405966	0.7312982365174443	0.8008889083623044	0.7490567014870751	0.7381571487276662	0.7205607440276357	0.8131233695911009	0.7779622053531973	0.7349436910557104	0.7126236762293292	0.8014404224720096	0.7143844775421675	0.7655506548690807	0.806391373562066	0.7122641973102322	0.7543371653405944	0.7353354735393663	0.7411719131645755	0.6705540269300865	0.632998845417945	0.8289488366632406	0.7170841075040613	0.7581854093053163	0.6831089145564924	0.7717403026984591	0.6328242869994828	0.7275416978527671	0.5964229008723001	0.7532078516631384	0.7238640483713576	0.6781737338170034	0.7128288150885898	0.7379427151901811	0.6762946527454936	0.6242392186270399	0.6580519869767767
