	number	shannon
ACK-F1	1909861	12.810063113347121
ACK-F1-a	1783301	11.288132418108608
ACK-F2	1849246	12.854017775082461
ACK-F2-a	2023352	12.727396626984747
ACK-F3	1517003	12.086183294211345
ACK-F3-a	1832066	11.985120921762208
ACK-M1	2492000	13.341896028940939
ACK-M1-a	2011854	13.139618584577217
ACK-M2	2408217	13.258602012370519
ACK-M2-a	2439565	13.27512373020489
ACK-M3	1975518	12.998953991644374
ACK-M3-a	1071723	12.073957423659124
Cig-F1-L	2543488	13.387258259004145
Cig-F1-L-a	2437995	13.506218759479154
Cig-F13-H	2192023	13.171362943053273
Cig-F13-H-a	1842233	12.787878625694413
Cig-F14-H	1895895	12.37257147468456
Cig-F14-H-a	1946106	12.953086799851013
Cig-F15-H	2087961	12.393182674793035
Cig-F15-H-a	2342955	12.854855032498252
Cig-F2-L	2005691	12.77521467532788
Cig-F2-L-a	2203454	13.509276499069099
Cig-F3-L	2030963	12.87687454699997
Cig-F3-L-a	2094794	12.654744503670138
Cig-F7-M	1435141	11.763126396273702
Cig-F7-M-a	2630079	13.614240097708754
Cig-F8-M	2039878	13.059055907785371
Cig-F8-M-a	2203486	13.121849864459117
Cig-M1-L	1872324	13.01124684440893
Cig-M1-L-a	2056385	13.037302764393596
Cig-M13-H	1337065	11.992915033673908
Cig-M13-H-a	2073969	13.020392537615841
Cig-M14-H	2087952	12.882605060307682
Cig-M14-H-a	1848993	12.416772644085082
Cig-M15-H	2108598	13.282324470616812
Cig-M15-H-a	2237024	13.17714616089055
Cig-M2-L	1707826	11.391839593190294
Cig-M2-L-a	1717506	12.887881515021487
Cig-M3-L	1912051	12.936320382323514
Cig-M3-L-a	1578784	11.134079910484484
Cig-M7-M	2113117	13.289016175901935
Cig-M7-M-a	1993162	12.901564641353604
Cig-M8-M	1942319	13.046829548198732
Cig-M8-M-a	1463761	11.000695376583154
Cig-M9-M	1983571	13.09041728133718
Cig-M9-M-a	1791823	12.79683435793306
EL-F1-L	1919056	13.013417334487244
EL-F1-L-a	2165542	13.051469265452738
EL-F13-H	2079862	12.257080233959913
EL-F13-H-a	1805356	12.685997636612138
EL-F14-H	1981055	12.665197838663635
EL-F14-H-a	1826401	13.037161788975048
EL-F15-H	1629262	11.628955611665933
EL-F15-H-a	2022911	12.915266776420095
EL-F3-L	2153283	13.008828362142387
EL-F3-L-a	2052850	12.661991137236184
EL-F6-L	1688436	11.116692918595898
EL-F6-L-a	2499934	13.050864815333876
EL-F7-M	2028685	12.542987842099715
EL-F7-M-a	1973753	11.514479580385059
EL-F8-M	1995673	12.940150441571998
EL-F8-M-a	2241861	13.19723462380841
EL-F9-M	2013722	12.667786598369945
EL-F9-M-a	2565941	13.805430463433487
EL-M1-L	2359345	12.831467055122763
EL-M1-L-a	2200301	12.906863195586999
EL-M13-H	1507871	12.145231559962406
EL-M13-H-a	1827465	12.634453381342354
EL-M14-H	1859963	12.93931806753045
EL-M14-H-a	1523579	12.270315521614233
EL-M15-H	1889025	12.972809075460884
EL-M15-H-a	1954561	12.901373670008306
EL-M2-L	1875187	12.833498618343365
EL-M2-L-a	2420700	13.332740701894613
EL-M3-L	1887268	13.197453554391895
EL-M3-L-a	1716762	12.445530145801124
EL-M7-M	1996527	13.01756138285737
EL-M7-M-a	1655701	12.214311528173681
EL-M8-M	2040956	13.411610313263896
EL-M8-M-a	2128986	13.34498806706456
EL-M9-M	2525960	13.379570240166405
EL-M9-M-a	1711906	12.58324231369641
