	number	shannon	Sex	Group	Dose
ACK-F1	1909861	12.81006311334712	F	CK	ACK
ACK-F2	1849246	12.854017775082461	F	CK	ACK
ACK-F3	1517003	12.086183294211345	F	CK	ACK
ACK-M1	2492000	13.34189602894094	M	CK	ACK
ACK-M2	2408217	13.25860201237052	M	CK	ACK
ACK-M3	1975518	12.998953991644376	M	CK	ACK
Cig-F1-L	2543488	13.387258259004145	F	Cigarette	Cig-L
Cig-F13-H	2192023	13.171362943053275	F	Cigarette	Cig-H
Cig-F14-H	1895895	12.37257147468456	F	Cigarette	Cig-H
Cig-F15-H	2087961	12.393182674793035	F	Cigarette	Cig-H
Cig-F2-L	2005691	12.77521467532788	F	Cigarette	Cig-L
Cig-F3-L	2030963	12.876874546999971	F	Cigarette	Cig-L
Cig-F7-M	1435141	11.763126396273703	F	Cigarette	Cig-M
Cig-F8-M	2039878	13.059055907785373	F	Cigarette	Cig-M
Cig-M1-L	1872324	13.01124684440893	M	Cigarette	Cig-L
Cig-M13-H	1337065	11.992915033673908	M	Cigarette	Cig-H
Cig-M14-H	2087952	12.882605060307682	M	Cigarette	Cig-H
Cig-M15-H	2108598	13.282324470616812	M	Cigarette	Cig-H
Cig-M2-L	1707826	11.391839593190296	M	Cigarette	Cig-L
Cig-M3-L	1912051	12.936320382323515	M	Cigarette	Cig-L
Cig-M7-M	2113117	13.289016175901935	M	Cigarette	Cig-M
Cig-M8-M	1942319	13.046829548198733	M	Cigarette	Cig-M
Cig-M9-M	1983571	13.09041728133718	M	Cigarette	Cig-M
EL-F1-L	1919056	13.013417334487245	F	E-liquid	EL-L
EL-F13-H	2079862	12.257080233959913	F	E-liquid	EL-H
EL-F14-H	1981055	12.665197838663635	F	E-liquid	EL-H
EL-F15-H	1629262	11.628955611665932	F	E-liquid	EL-H
EL-F3-L	2153283	13.008828362142387	F	E-liquid	EL-L
EL-F6-L	1688436	11.116692918595898	F	E-liquid	EL-L
EL-F7-M	2028685	12.542987842099715	F	E-liquid	EL-M
EL-F8-M	1995673	12.940150441572	F	E-liquid	EL-M
EL-F9-M	2013722	12.667786598369947	F	E-liquid	EL-M
EL-M1-L	2359345	12.831467055122767	M	E-liquid	EL-L
EL-M13-H	1507871	12.145231559962404	M	E-liquid	EL-H
EL-M14-H	1859963	12.939318067530449	M	E-liquid	EL-H
EL-M15-H	1889025	12.972809075460885	M	E-liquid	EL-H
EL-M2-L	1875187	12.833498618343365	M	E-liquid	EL-L
EL-M3-L	1887268	13.197453554391894	M	E-liquid	EL-L
EL-M7-M	1996527	13.017561382857368	M	E-liquid	EL-M
EL-M8-M	2040956	13.411610313263896	M	E-liquid	EL-M
EL-M9-M	2525960	13.379570240166403	M	E-liquid	EL-M
