	ACK-F1	ACK-F2	ACK-F3	ACK-M1	ACK-M2	ACK-M3	Cig-F1-L	Cig-F13-H	Cig-F14-H	Cig-F15-H	Cig-F2-L	Cig-F3-L	Cig-F7-M	Cig-F8-M	Cig-M1-L	Cig-M13-H	Cig-M14-H	Cig-M15-H	Cig-M2-L	Cig-M3-L	Cig-M7-M	Cig-M8-M	Cig-M9-M	EL-F1-L	EL-F13-H	EL-F14-H	EL-F15-H	EL-F3-L	EL-F6-L	EL-F7-M	EL-F8-M	EL-F9-M	EL-M1-L	EL-M13-H	EL-M14-H	EL-M15-H	EL-M2-L	EL-M3-L	EL-M7-M	EL-M8-M	EL-M9-M
Acidobacteria	4.788804634919339e-06	1.03122954836536e-06	7.70457187845333e-07	1.91562501426804e-06	2.21487696021531e-06	3.02825878757665e-06	1.86715476504977e-06	1.77276251880485e-06	1.9197562761461496e-06	1.86667131931358e-06	1.35533344640676e-06	1.0575901669220601e-06	1.03088661946693e-06	3.6016595958012002e-06	3.23735153239128e-06	1.18384897185348e-06	2.36835505581773e-06	1.49189928415712e-06	1.5602326074691098e-06	4.17695899081645e-06	1.9635658238597e-06	2.37215480618685e-06	3.84497317703306e-06	3.5281191565312203e-06	4.93417628837989e-06	3.55532056921745e-06	1.6420421438098302e-06	1.5652288275333401e-06	1.45155529496004e-06	1.62662980871805e-06	1.5517451253962098e-06	4.81272091685999e-06	5.15318959629069e-06	1.92846079691292e-06	2.9393647258698e-06	2.1513105454894403e-06	3.31190816065451e-06	2.21703502157056e-06	2.53393729591827e-06	3.85906691982043e-06	7.07872223314509e-06
Actinobacteria	0.0134137335769198	0.00322971751468083	0.00831780309571888	0.00467844246977313	0.00934735128945794	0.00302434874443595	0.005852986551361771	0.00463914563320458	0.011892983066683998	0.0102993354218966	0.00230173587894152	0.00451784154699331	0.0102664951368971	0.00501699942457474	0.0028457667980340898	0.0108753584483463	0.00265712597370249	0.0033566597971174603	0.009989509521728609	0.00680382857994232	0.00156841042143001	0.00571459193054415	0.00238568763524375	0.00300309476108095	0.0127285527453155	0.014574532381853	0.011408789716004999	0.0074606742791776	0.0119763693608275	0.0141087632831641	0.00415786642132986	0.0054321113678704605	0.0157759222107696	0.012773057874953002	0.00318160631438493	0.0073683419276090595	0.00339823200044694	0.0059616634049672705	0.0066582887537429795	0.00912588404314511	0.0107312115454248
Aquificae	2.52680467885584e-06	1.83247111310873e-06	1.51600581432187e-06	2.05032182539227e-06	1.16893982689267e-06	1.29686221031401e-06	4.1810349738688305e-06	8.938975273405359e-07	1.3623170008597e-06	2.83875994263765e-07	2.01600902756185e-06	1.03756832498303e-06	2.32975412279798e-06	3.4787416780170396e-07	3.43277258384604e-07	4.68603512137602e-06	1.0447870074447202e-06	1.44999150162658e-06	2.24773961536053e-06	1.90141162785186e-06	6.69249802848871e-07	5.33860189056991e-06	1.0784755594746e-06	1.00177709656145e-06	7.5795718293394e-06	2.73873443565265e-06	2.16985364451276e-06	8.21540103543865e-07	9.66242722481992e-07	4.6905015886890804e-06	9.922204950197131e-07	7.0100170154931e-07	3.72392975623746e-06	1.97900151847426e-06	1.1808013377221e-06	8.39704805858339e-07	6.194355673747111e-07	9.014510682616621e-07	1.53847591515276e-06	1.8138682889071898e-07	9.288350223933201e-07
Armatimonadetes	5.1318420358261e-07	5.7522209339992e-08	4.99057211679659e-08	8.59980497042829e-08	5.065206327781671e-07	5.16819398787519e-07	8.47106685176715e-08	3.0803300609445803e-07	1.00106948832865e-07	1.21666998425271e-07	2.58012432987878e-07	3.49968977520489e-07	4.96608526900447e-07	5.9500776479020405e-08	3.9900521329009e-07	3.4666573766675703e-07	4.93835778984713e-07	5.06883956739545e-07	4.2930306795245204e-07	1.27812747371993e-06	9.58749839287599e-07	3.9744733594188e-07	2.85774565308558e-07	3.89947446635722e-07	3.5135469251378e-07	0.0	2.0665747935348198e-07	5.79301230194182e-08	9.227517479311289e-08	1.731086660616e-06	5.354058215850389e-07	8.341388028882059e-07	4.4820073190686207e-07	3.14415710563596e-07	2.53919362917522e-07	0.0	4.67345849234665e-07	5.411406024784839e-07	8.073469645629158e-07	7.01853284149466e-07	1.5467987959314802e-07
Bacteroidetes	0.0955722110292181	0.213264601287583	0.0217555950943347	0.0774878983075643	0.13228032054518998	0.20648919407995897	0.10135517688521002	0.109577820502063	0.103054192637637	0.0309448689073988	0.0763583389013116	0.105102625516621	0.0287191580251672	0.12246850540586501	0.22516122106710396	0.0533806892027664	0.269561773889057	0.20221900749984498	0.0382055287415509	0.28294271533668297	0.269021537754611	0.19082894212956802	0.22976611611666198	0.21889648282910198	0.015534867703089	0.0219316221657414	0.0270349590412003	0.0639565436767527	0.0337627905766013	0.0260463078603005	0.17683616885566297	0.0592511088492308	0.0478398916229544	0.0243219901671468	0.12409524726287499	0.11150463424435601	0.31466821662218797	0.197715817810718	0.0540900599178479	0.13893939644636902	0.13976194167984898
Balneolaeota	0.0	0.0	0.0	7.20373273496916e-08	7.58736177808579e-08	1.70040569582798e-07	1.9059900416476102e-07	0.0	0.0	0.0	0.0	0.0	7.44912790350671e-08	0.0	0.0	0.0	1.85719724124373e-07	2.4407319946004e-07	7.15505113254087e-08	8.637853801217482e-08	2.2319619339864602e-07	1.9195258671442002e-07	3.34434544826328e-07	0.0	3.10499495709852e-07	6.34577354292829e-08	0.0	6.399257775400849e-08	0.0	0.0	0.0	0.0	2.0525528965204502e-07	0.0	0.0	0.0	1.43249771025905e-07	2.02544002086579e-07	9.86957028825543e-08	2.0042904407073898e-07	1.38193622834004e-07
Caldiserica	0.0	4.8658131179403e-07	0.0	0.0	0.0	0.0	0.0	1.8611830344817399e-07	0.0	0.0	0.0	0.0	0.0	3.7066057478734e-07	3.54532250462788e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25710452921697e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9112594240244898e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9483035350367802e-07
Calditrichaeota	0.0	6.807674316384361e-08	2.2009702668949104e-07	1.8963672498893198e-07	0.0	0.0	7.75012499204229e-08	2.42480715977035e-07	7.649495970082541e-08	8.94304432869517e-08	9.00004943077335e-08	0.0	0.0	5.18584749129077e-08	7.50617630541318e-07	0.0	1.36409348514134e-07	5.9550227582785703e-08	0.0	0.0	0.0	0.0	1.25049438500279e-07	9.76477845973301e-08	1.6905955448589598e-07	9.491069994640581e-08	0.0	7.806186789850679e-08	4.89855866185661e-08	1.65968679935267e-07	1.1745381499948899e-07	1.01379847709125e-07	1.99185893062942e-07	0.0	1.4776901364416302e-07	5.75093340698632e-07	0.0	4.30093436529527e-07	1.39717373627978e-07	0.0	3.62784561198281e-07
Candidatus Acetothermia	0.0	0.0	0.0	0.0	1.33114980056037e-06	9.94414470218387e-07	2.76650031361509e-07	2.8742320279338197e-07	4.0958693611961e-07	1.32447618538903e-07	0.0	0.0	1.62183544228247e-07	0.0	9.581346262506978e-07	0.0	8.08703608845372e-07	6.5731390445809e-07	0.0	1.0103008749778401e-06	4.859461425894571e-07	7.48372110228372e-07	9.10169963767856e-07	1.04569652872584e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.21765410739976e-06	1.4757825932341e-07	2.97923289621533e-07	0.0	4.376955594016979e-07	3.7121134475173603e-07	1.39623194544237e-06	7.349697966010899e-07	0.0	0.0	3.00877254777831e-07
Candidatus Adlerbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1496510593617e-08	0.0	1.00885826724658e-07	1.78033819386045e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05129750515934e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
