	ACK-F1	ACK-F2	ACK-F3	ACK-M1	ACK-M2	ACK-M3	Cig-F1-L	Cig-F13-H	Cig-F14-H	Cig-F15-H	Cig-F2-L	Cig-F3-L	Cig-F7-M	Cig-F8-M	Cig-M1-L	Cig-M13-H	Cig-M14-H	Cig-M15-H	Cig-M2-L	Cig-M3-L	Cig-M7-M	Cig-M8-M	Cig-M9-M	EL-F1-L	EL-F13-H	EL-F14-H	EL-F15-H	EL-F3-L	EL-F6-L	EL-F7-M	EL-F8-M	EL-F9-M	EL-M1-L	EL-M13-H	EL-M14-H	EL-M15-H	EL-M2-L	EL-M3-L	EL-M7-M	EL-M8-M	EL-M9-M
Acetanaerobacterium	1.77394722140117e-06	2.834642390084e-06	1.5803114925089898e-06	6.6870808387470806e-06	7.21418161709151e-06	2.78298104507614e-06	3.903922639703289e-06	2.61941663814025e-06	4.25010397412788e-06	1.9172489928454103e-06	5.38075113577601e-06	1.75873995976844e-06	5.879314828180919e-06	3.957390654276249e-06	4.77635482615376e-06	1.10631295422916e-06	3.7692245981472e-06	6.2549736443370996e-06	1.17049008473969e-06	4.83598827536653e-06	4.46896251177822e-06	2.78145110631805e-06	4.894752336014881e-06	2.43842563232642e-06	1.32153555104141e-05	1.8934996161692902e-06	2.88019643195369e-06	4.79677421682283e-06	3.91863807672779e-06	2.5073492612573997e-06	2.9131913453227502e-06	4.79895107378945e-06	3.32182702992062e-06	2.81461499230586e-06	2.1457616283347097e-06	1.9246796228332e-06	4.36352609908318e-06	3.60619825107371e-06	3.2398333377335098e-06	7.06149259825668e-06	6.56296921069869e-06
Acetitomaculum	7.947089414136189e-06	8.74145372087574e-06	5.7148389389901395e-06	1.4261725122876999e-05	2.68926122014279e-06	2.05643659530226e-05	4.76108877805472e-05	5.03391788742301e-06	1.38083924451305e-05	7.986521326517641e-06	3.57117455268578e-06	4.3645494214463705e-05	6.43129322553425e-06	6.9552416230277495e-06	3.2855878381995194e-05	3.5204162547360497e-06	4.95742639115649e-06	2.9626853747892797e-05	9.98614582560094e-06	1.0183732549127698e-05	1.87107984807323e-05	9.32943864330227e-06	7.63780337816296e-06	6.16872863302443e-06	5.22103966720595e-06	5.19990395639728e-05	1.8762566130879102e-05	5.42389834381687e-06	2.77505504591485e-06	1.02966903193258e-05	1.15018833111941e-05	7.83167940238432e-06	2.2744870130653698e-05	9.60749519169789e-06	4.41743795946644e-05	0.000107889576844848	8.93761134384438e-06	6.74992798400905e-06	1.64691422551401e-05	0.000127236768768782	1.22100670854394e-05
Acetivibrio	0.000156913611821479	0.00012949043082245	0.000271158818559473	0.000308106595308617	0.000103454520326974	0.00025494021627960403	0.00023909941838623998	0.000258975874257645	0.000173491956341319	0.000287894933724915	8.227698243541379e-05	0.000270941540329695	0.000103849566655273	0.000228810813732281	0.000217581011601111	0.00010514509788488299	0.000117068817101979	0.00013055547246456698	0.000135698874126467	0.00011548003813503	0.000108405907627477	0.000126819058652881	0.000103885756406536	0.00021359876138481	0.000126710213280554	0.0010369991269714698	0.000205663698879892	6.9906908443797e-05	5.1485321667639295e-05	0.00045778772396953094	0.00023085737742441	0.00022446861464052597	0.000195424359391803	0.000389792337241575	0.00032318854573148796	0.00022610878500111802	7.930535170792071e-05	0.000146291174297521	0.000301648955485689	0.000145887532986615	0.000159972686377402
Acetoanaerobium	1.3510359645338098e-07	2.27154030760989e-07	0.0	0.0	3.34385055221025e-07	0.0	4.4602760158284206e-07	0.0	5.7678017742333604e-08	0.0	5.28064124764763e-08	0.0	0.0	1.15358648275652e-07	1.73474336456391e-07	0.0	5.46047735887046e-07	0.0	1.31622330994335e-07	0.0	0.0	7.90393004118201e-08	2.57738605909458e-07	7.024662055216089e-08	3.4234559783394e-07	5.83675427477896e-08	0.0	3.9579999472123496e-07	6.07321303485284e-08	1.9651733494574e-07	0.0	0.0	3.6178348193509703e-07	8.675855970631861e-08	9.24544096062409e-08	0.0	0.0	6.20990523331402e-08	0.0	0.0	0.0
Acetobacter	3.5276400484933396e-05	1.2355978981029902e-05	4.5808806642884204e-06	4.6229934214193705e-06	3.13175363187147e-05	3.55533056884834e-05	5.02218243983314e-05	0.000162280973917202	6.63020746277292e-05	2.3406507822604998e-05	4.28744157076781e-05	2.56703478483022e-05	1.75552533998696e-05	2.8976914545258502e-05	2.62373707802708e-05	1.30137823822826e-05	5.2748352782379e-05	0.00026361831267155897	7.66469163955466e-06	4.2556304792369895e-05	4.81749162264014e-05	6.37208706774291e-05	0.000588861990802308	2.30740015487401e-05	1.97220729799257e-05	9.88713611590383e-06	6.34364010872481e-06	1.57939031069367e-05	1.29300736374669e-05	7.9952003673372e-05	0.00036542110620298	1.28896137767992e-05	3.79875885527165e-05	4.08025973293465e-06	3.82688615133671e-05	0.000150242739284151	4.30933356682738e-05	2.9460328096087397e-05	3.1609364137045e-05	7.825631946182179e-06	2.9610091994910302e-05
Acetobacterium	1.65814472390715e-06	9.86274352341131e-07	5.55050511481507e-07	5.77449759267871e-06	6.75921663386533e-07	3.7462947709747705e-07	3.99125748843686e-06	8.30470028561531e-07	1.2900490295657801e-06	4.31924825124741e-07	2.9136301660809805e-07	8.63974205712562e-07	1.76541701752645e-06	1.24232390450702e-07	4.5945377718845794e-07	1.12416737437638e-05	4.2123682482715e-07	4.5430495408128e-07	1.9409012255488e-06	4.5375524806891796e-07	1.55563388464562e-06	5.7452828151059e-06	8.15469994118392e-07	1.12367326902847e-06	5.9383632245695096e-06	3.8498069910925905e-06	1.8823360864266499e-06	5.906734084034779e-07	1.62077280949593e-06	4.3417959359970804e-06	1.0570843349954e-06	9.73642946968491e-07	4.65342573519825e-06	4.07889003911326e-06	2.27986478193851e-06	4.54603547328286e-07	5.74805698667574e-07	1.31870417654075e-06	2.0035886059381002e-06	1.12460271554358e-06	1.50435682289626e-06
Acetonema	3.3519373297294504e-07	0.0	0.0	0.0	8.874332003735779e-07	4.97207235109193e-07	0.0	5.74846405586765e-07	0.0	9.34228737908334e-08	0.0	4.33939307416669e-07	0.0	0.0	0.0	0.0	0.0	3.28656952229045e-07	0.0	0.0	0.0	0.0	0.0	8.71413773938199e-07	6.2622779169782e-07	0.0	0.0	0.0	1.56624967740942e-07	1.59954549421081e-07	1.22697288883395e-07	0.0	0.0	5.794232380386271e-07	8.753911188033951e-07	3.1652395914098894e-07	1.39623194544237e-07	0.0	0.0	0.0	0.0
Acholeplasma	2.43442442707984e-05	3.197601865397e-06	1.8176657748775798e-05	6.77243143007414e-06	5.8657930320379004e-06	3.6998336492410598e-06	1.65885506998353e-05	1.38115994755544e-05	2.1577049225063e-05	2.66782438617738e-06	2.63504428562482e-05	2.5637509973593105e-05	2.97887719402948e-06	7.428927096892909e-06	1.6385549018656197e-05	2.11041568191013e-05	1.17961601265726e-06	5.43929043870962e-06	4.1616553910683996e-06	2.19466012925223e-06	5.3789240798754205e-06	3.38044402728483e-06	5.51600468765877e-06	3.7427868084804604e-06	7.3840139334071395e-06	9.180073901503349e-06	6.5814209529157095e-06	3.50264128925761e-05	9.722907806698179e-06	3.16406931846264e-05	3.7194501138602402e-06	5.81993473192267e-06	1.33830855615179e-05	1.89855900085727e-06	4.19473954731103e-06	6.70371204120632e-06	1.4860799839271601e-06	2.02676467652312e-06	1.22521121173132e-05	2.11855207244287e-06	3.30356046086899e-06
Acidaminococcus	1.68492602012637e-05	3.12520304472302e-05	1.0705832289100999e-05	3.55553222143019e-05	2.37863608886532e-05	2.46172740312884e-05	3.0019057880542104e-05	2.75868361896567e-05	1.60381742461366e-05	3.9611062369234e-05	1.55078330166582e-05	1.32580308488625e-05	9.530434092857221e-06	4.60780805897685e-05	3.01341830348703e-05	2.14580649455021e-05	2.1457311951675e-05	2.75146432478727e-05	3.83155799769938e-05	3.8648352650659996e-05	1.92642874947494e-05	2.116969528766e-05	3.07838774328247e-05	3.6432293283458005e-05	2.1562803272359698e-05	6.11958625406783e-05	1.78995511514082e-05	4.2917942779952504e-05	1.23895742427351e-05	2.25028406637946e-05	1.93078536492703e-05	3.237531162644e-05	5.9535457038603894e-05	3.3278936463957895e-05	3.2538984975415506e-05	1.1976183443330301e-05	2.7099549830936104e-05	3.8636454756740295e-05	2.9126154587365504e-05	5.02803126472966e-05	3.25458153120796e-05
Acidiphilium	3.73487112392374e-07	1.09025459470451e-06	2.81622537671093e-07	1.0171597261985399e-06	3.31543228280024e-06	4.88190236189898e-07	4.151376637211e-07	4.84700527494956e-07	3.12480192778341e-07	4.09380361379833e-07	3.6554191265686397e-07	3.9127045794926294e-07	0.0	8.07561662147868e-07	1.66197268537567e-06	1.6025168715001398e-07	1.42183822975322e-06	3.0992635960076303e-06	8.589581571341961e-08	6.67703454959524e-08	1.3085104297407499e-06	2.13379315161125e-06	1.99238343830085e-06	9.44114580221043e-07	2.6429940521490196e-07	0.0	0.0	1.8716751035036801e-06	3.54270760366416e-08	7.23699667848132e-08	2.93929202528051e-06	9.40216329560433e-08	5.50322953016808e-07	0.0	1.06405761284384e-06	1.1492502578732801e-07	4.65665073127938e-07	1.8091270799947102e-06	5.925868492868921e-07	4.36954238867499e-07	1.02670146618845e-06
Acinetobacter	0.00025406611102485603	7.154343824016e-05	0.000103844199080871	4.34128639664234e-05	6.0407926131973594e-05	8.053562638287221e-05	0.000137035789077466	0.000413895268735222	0.000254240792407733	3.42602506056304e-05	6.46053585998822e-05	0.00038583678515308	0.000119188277122936	0.000469803002778297	3.9615958333739296e-05	0.000122679286329703	7.942046720732091e-05	0.000151782221607717	5.65939009581439e-05	0.000254890489275694	0.000122725661182918	0.000246857518046997	7.05856605477068e-05	0.000340519454452965	9.35247913529729e-05	3.57005282062402e-05	4.9138188720803995e-05	3.8302641279552796e-05	3.21457029720311e-05	0.000297659998564427	0.000709349191038284	0.000639078868020337	7.81264816236576e-05	7.152159256116899e-05	8.908367609722671e-05	0.000263244394069535	6.82587834751156e-05	2.23499498827168e-05	0.000315013316117103	0.00016941196078004199	7.10253273248045e-05
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.53676502067592e-08	0.0	9.817189174133119e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.772454991032911e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
