	ACK-F1	ACK-F2	ACK-F3	ACK-M1	ACK-M2	ACK-M3	Cig-F1-L	Cig-F13-H	Cig-F14-H	Cig-F15-H	Cig-F2-L	Cig-F3-L	Cig-F7-M	Cig-F8-M	Cig-M1-L	Cig-M13-H	Cig-M14-H	Cig-M15-H	Cig-M2-L	Cig-M3-L	Cig-M7-M	Cig-M8-M	Cig-M9-M	EL-F1-L	EL-F13-H	EL-F14-H	EL-F15-H	EL-F3-L	EL-F6-L	EL-F7-M	EL-F8-M	EL-F9-M	EL-M1-L	EL-M13-H	EL-M14-H	EL-M15-H	EL-M2-L	EL-M3-L	EL-M7-M	EL-M8-M	EL-M9-M
ACK-F1	0.0	0.6571966378123821	0.7278655167882241	0.7436948339696686	0.7246237252592345	0.7648115059753223	0.6770939321053809	0.6927283076180365	0.6276783573194598	0.7283235163199012	0.7464605108200262	0.6186364068659781	0.7254953877750521	0.7450600717974946	0.7833333938289525	0.7918714121795816	0.7825442408506675	0.7606468217926381	0.7981733486391643	0.7462575229605746	0.7809322380465211	0.8169162295491796	0.774746226007602	0.7367996041544842	0.7286213486566718	0.7257145202290689	0.7020945880525776	0.7312222553559388	0.7101581434640125	0.7057281431277631	0.7285940912450893	0.7257381252513903	0.7111303328326783	0.80056695863574	0.712681727822195	0.7295827002862303	0.7801657511160626	0.7836837304450215	0.7571595428818494	0.7402608150671506	0.7232621201064763
ACK-F2	0.6571966378123821	0.0	0.7594816827061707	0.7208122373781825	0.7031496106295564	0.6874775661401819	0.6503587534717105	0.6466131480228196	0.6797737625764888	0.7745792019719565	0.7557062900886077	0.6615875045091181	0.8052661495095026	0.7441909031591396	0.7202206631064393	0.8313087376096665	0.6614379998264944	0.7076805522920745	0.8424248217686012	0.7036492100634888	0.6912302797810137	0.7718066894898381	0.6842814474756236	0.6708121067498455	0.7885033104389859	0.8215661197862718	0.8304600409293811	0.718435668869447	0.7855907399008359	0.7730594380118292	0.6839864461221801	0.7483107844221988	0.7422958355890652	0.8507596136985338	0.6664786499664817	0.6971463773506819	0.6761962543328699	0.7171178594300455	0.7582392528789108	0.7198074384897583	0.6724817953381103
ACK-F3	0.7278655167882241	0.7594816827061707	0.0	0.7999531895724202	0.8208491989257168	0.8122068920765778	0.7579202135852247	0.7554883334620566	0.7454992570363455	0.7649434346291586	0.7974379807840667	0.7379709380228227	0.7606942096322714	0.7924066982945118	0.8849308249447421	0.7854886371772873	0.891103220540847	0.8588793736998733	0.8083539715536965	0.8707474673972116	0.8751919557010874	0.8689190169269905	0.8838567886583314	0.8076332117028596	0.7701198992547804	0.8184942129054708	0.7676482572101009	0.7245988367971951	0.7537168553974518	0.7746723027344995	0.8519107449001677	0.8025943514441085	0.7648959905166413	0.7873227996777367	0.8002154027830676	0.8084999470282084	0.8997356848756828	0.8910324616717008	0.7883746848082722	0.8418490720872129	0.7868783589338603
ACK-M1	0.7436948339696686	0.7208122373781825	0.7999531895724202	0.0	0.6684785192173242	0.6077651488397241	0.6659278414990147	0.6913592360085714	0.7518597491018799	0.7349502611670103	0.7941025262757899	0.7162252869228042	0.7758630813523145	0.7664374217842475	0.7604137959417773	0.8101200929009073	0.7397561789493309	0.7059936174368391	0.7530508160996723	0.703704734353521	0.682894337152807	0.7225464099544182	0.6800485574268845	0.698225378204223	0.7958342230617989	0.8012539767780223	0.8032380468833444	0.7666321465550631	0.7581410750602459	0.738807413719237	0.7206532611614139	0.7222491710393176	0.6621233112776397	0.7253228569890633	0.6263493487313401	0.6998830988371523	0.7350924090716009	0.7208015781724472	0.5977007384250397	0.6899980188265165	0.6648338722849068
ACK-M2	0.7246237252592345	0.7031496106295564	0.8208491989257168	0.6684785192173242	0.0	0.6408175181907442	0.700176104177974	0.7283967637904835	0.7563385323959013	0.7985353071794905	0.7401766746183928	0.7760155032005105	0.8271643184797859	0.7535360934633258	0.7025909961750838	0.7723323441361241	0.6493423842097384	0.6027203356457209	0.8114371589328169	0.655093077562962	0.6478296382968863	0.6750700297418419	0.6583214984293939	0.6842120788344821	0.7646099504157438	0.7703970487875091	0.7998720673575416	0.6846812449045566	0.7983419483228466	0.7632997635729369	0.6968212859827753	0.7371905555414702	0.6659862078241483	0.814931840840091	0.7167941972024159	0.7391210759279263	0.6663871648009145	0.7207633825322405	0.7156782032274641	0.6649790888350126	0.6520921471816269
ACK-M3	0.7648115059753223	0.6874775661401819	0.8122068920765778	0.6077651488397241	0.6408175181907442	0.0	0.6795688266722827	0.7081898162323227	0.7681597238478658	0.8028204114284817	0.7806139009659312	0.7513633630816386	0.8553067756347847	0.7768995163447255	0.721154925234205	0.8225008752581775	0.627927956530275	0.6459460667210579	0.7879001226898014	0.5918480407505585	0.546709030803483	0.6016591679212692	0.6133922756850182	0.5882555270560371	0.8216667311801666	0.78937096184032	0.8399619477365311	0.7608635292253384	0.8117155428714009	0.7931012417679839	0.6710898572584271	0.7732480087769006	0.698550676723813	0.8202677886959474	0.6622446192904753	0.6943137021213115	0.6326988818894614	0.6707131836236061	0.6985116170238493	0.6999923589217215	0.6469691410281805
Cig-F1-L	0.6770939321053809	0.6503587534717105	0.7579202135852247	0.6659278414990147	0.700176104177974	0.6795688266722827	0.0	0.6322310025793577	0.6959028730417526	0.7394441612127098	0.7099642580772173	0.6298634744258829	0.7713522392693306	0.6915241707768108	0.7439305427375621	0.8166002591249055	0.7257743069228213	0.7045742949272717	0.8137223380664398	0.7035781704974298	0.6858175198312738	0.7387055675071075	0.7204958159787131	0.6959812673667594	0.7651198090936275	0.7556317412657142	0.7728825197843449	0.7362215403592297	0.7701747295595394	0.7300490091989218	0.6653892810722122	0.7178283614434169	0.6948879003563739	0.799057160291491	0.6649092073878102	0.6873865083894976	0.7315547532466314	0.7363074251676166	0.7217737643511786	0.7154468417492503	0.6851143756258176
Cig-F13-H	0.6927283076180365	0.6466131480228196	0.7554883334620566	0.6913592360085714	0.7283967637904835	0.7081898162323227	0.6322310025793577	0.0	0.6822266320410837	0.7371015387543666	0.774397595712718	0.66978173389537	0.7834919800322122	0.7583146688258035	0.7676954287117642	0.8177814097041401	0.7381687307393883	0.736564900968176	0.8341850955879492	0.7101018361341873	0.7132606599585862	0.7284548250592596	0.7542562731396754	0.6628544796899055	0.8011955533539802	0.8096844624810896	0.7916981441226553	0.7692071534961237	0.7806108313622724	0.7444121330071695	0.6649060419016274	0.7079478169330102	0.7223061904008298	0.7797683257413219	0.670617996068543	0.6692779995889347	0.7548261608450978	0.727633534361433	0.7406404045564192	0.7154295560321753	0.7083182016102003
Cig-F14-H	0.6276783573194598	0.6797737625764888	0.7454992570363455	0.7518597491018799	0.7563385323959013	0.7681597238478658	0.6959028730417526	0.6822266320410837	0.0	0.7193890962209075	0.7401069460314533	0.6436561734993986	0.729721741771745	0.7395435118465539	0.8012559371841702	0.7101060382336504	0.7428129039990191	0.7493684757268878	0.7873434298633546	0.7333384244675296	0.7997897334747847	0.8144962800955445	0.7410773516538668	0.7516297328420011	0.7559632892406327	0.7806288085454414	0.6795988144916504	0.7526385691794931	0.7194740942976977	0.7129922828595742	0.7391457819362613	0.7437289062373466	0.7218192544209965	0.7622496713394106	0.7158403731034044	0.7390860029384594	0.7529325902393462	0.7874871459530144	0.7359728291460883	0.7742137446683092	0.7247270371784238
Cig-F15-H	0.7283235163199012	0.7745792019719565	0.7649434346291586	0.7349502611670103	0.7985353071794905	0.8028204114284817	0.7394441612127098	0.7371015387543666	0.7193890962209075	0.0	0.8013621012642449	0.7440983559542652	0.7393634748457899	0.8273179833755339	0.8546630012757797	0.8169926811989886	0.8517360410658253	0.8476936768399624	0.8134235873039515	0.8511919027214122	0.8536701611805532	0.8327226365190853	0.8595016498892828	0.8099994347533702	0.7345212653019217	0.8095469172184009	0.7380821721031412	0.7682446768726953	0.7094908799796122	0.7108322675996565	0.8015281753412942	0.7702512361924984	0.7339950548058086	0.7168859173417443	0.7742914505158783	0.7725776455743139	0.8772000571870036	0.8697288464690305	0.7272277926687591	0.8093200291449995	0.7676316647623977
Cig-F2-L	0.7464605108200262	0.7557062900886077	0.7974379807840667	0.7941025262757899	0.7401766746183928	0.7806139009659312	0.7099642580772173	0.774397595712718	0.7401069460314533	0.8013621012642449	0.0	0.6931550336441555	0.808850150507485	0.7068575812442685	0.7992894502835199	0.7398008382571982	0.7833283532633506	0.7534765762952411	0.8243007159659383	0.8177172266698011	0.7757759796728657	0.8136398501269463	0.7854038505137142	0.8208766682257165	0.7884498192972702	0.8049825987322742	0.8174752260705539	0.6582103952058171	0.7526139600834671	0.7895142266445278	0.7410354496664637	0.7225149576027319	0.784611953242729	0.8439018260151292	0.7735478542494807	0.8375325860471664	0.7914056305223625	0.8195690614849281	0.7807727456502687	0.7487803444642365	0.7870678362042238
Cig-F3-L	0.6186364068659781	0.6615875045091181	0.7379709380228227	0.7162252869228042	0.7760155032005105	0.7513633630816386	0.6298634744258829	0.66978173389537	0.6436561734993986	0.7440983559542652	0.6931550336441555	0.0	0.6908845287795824	0.6812000075966621	0.7954371926857521	0.7816228512812117	0.7561520148714568	0.7429897526657198	0.8193738533330802	0.7642459102843571	0.7517833296836559	0.8020874398964267	0.7508761578706028	0.7393508562276371	0.7821210849275418	0.8015987353885092	0.7613332993668175	0.7557490762574535	0.7101631091000589	0.7279179894558929	0.7081316119111865	0.6831487436914337	0.7595604090909845	0.7928613453748169	0.6494600033636141	0.7286339565369502	0.7769575518868296	0.7733370953400969	0.7539515907162687	0.7488774707491604	0.737393038372923
Cig-F7-M	0.7254953877750521	0.8052661495095026	0.7606942096322714	0.7758630813523145	0.8271643184797859	0.8553067756347847	0.7713522392693306	0.7834919800322122	0.729721741771745	0.7393634748457899	0.808850150507485	0.6908845287795824	0.0	0.7963328831296952	0.8834458027843488	0.8178814660298708	0.8931230753323508	0.8797424402531664	0.840434538180135	0.8598291167104347	0.8923684184478063	0.8495234640633794	0.8869621300393227	0.8561318432071994	0.7968750395543991	0.8403935718080289	0.7103883240900136	0.7981933173193354	0.6527227425031444	0.7466346279836521	0.8095995319962943	0.6813585619945864	0.7785773550318813	0.7665089064478982	0.804908305237552	0.8184925868976697	0.9072814745207284	0.8896216062551288	0.7939298876064134	0.8234019178845976	0.8211574180981396
Cig-F8-M	0.7450600717974946	0.7441909031591396	0.7924066982945118	0.7664374217842475	0.7535360934633258	0.7768995163447255	0.6915241707768108	0.7583146688258035	0.7395435118465539	0.8273179833755339	0.7068575812442685	0.6812000075966621	0.7963328831296952	0.0	0.7893283254750953	0.8047978038038685	0.7412659413095886	0.7340602258068494	0.8348430362866436	0.7571567891215597	0.7521505401105391	0.798674578859017	0.7601220461039461	0.7171281344574553	0.811097503024821	0.7729876253923029	0.8365151505489216	0.7310882171354126	0.7724295372414669	0.8020085035844287	0.7695410002306499	0.7285242781463631	0.7848308677244968	0.8592094776986726	0.7410873321606649	0.8220466016916805	0.7564294151161999	0.7682880258063967	0.7725383395839989	0.7497102928793766	0.7464278109132276
Cig-M1-L	0.7833333938289525	0.7202206631064393	0.8849308249447421	0.7604137959417773	0.7025909961750838	0.721154925234205	0.7439305427375621	0.7676954287117642	0.8012559371841702	0.8546630012757797	0.7992894502835199	0.7954371926857521	0.8834458027843488	0.7893283254750953	0.0	0.8625066221730215	0.6758365638040629	0.6611310657449234	0.8759184070751798	0.6643807215178744	0.6730706560708871	0.7562832918908597	0.6706934171358591	0.716728888990058	0.8638617804239125	0.8387702688090751	0.878820366929989	0.8012756554573047	0.8589352024628027	0.8447573264112492	0.7055422282396232	0.8045407238028285	0.7996293406808906	0.8897397959196259	0.7423760989379619	0.7762989977189969	0.6775186697224098	0.7066709433735935	0.790292360268106	0.7037480555708054	0.7083044259559104
Cig-M13-H	0.7918714121795816	0.8313087376096665	0.7854886371772873	0.8101200929009073	0.7723323441361241	0.8225008752581775	0.8166002591249055	0.8177814097041401	0.7101060382336504	0.8169926811989886	0.7398008382571982	0.7816228512812117	0.8178814660298708	0.8047978038038685	0.8625066221730215	0.0	0.8416763184033152	0.8243923226445566	0.7514358762950375	0.8259477312439342	0.8684839160091768	0.8277103225398945	0.8328502480608148	0.8634353499166454	0.803406071778543	0.8067353268080669	0.7675091831559575	0.7547055441232203	0.7656717985157021	0.7897862616720039	0.8118062615017707	0.8047440894750958	0.747377460216897	0.7530093147349222	0.8154860528417082	0.8168036748639904	0.8467980289391938	0.8758192304530614	0.7700007365471836	0.8433961256590438	0.7961294120031844
Cig-M14-H	0.7825442408506675	0.6614379998264944	0.891103220540847	0.7397561789493309	0.6493423842097384	0.627927956530275	0.7257743069228213	0.7381687307393883	0.7428129039990191	0.8517360410658253	0.7833283532633506	0.7561520148714568	0.8931230753323508	0.7412659413095886	0.6758365638040629	0.8416763184033152	0.0	0.5126532059864883	0.8670288381791361	0.5515449606647135	0.5495126114498391	0.6419881658312037	0.5419693923372279	0.6223804894739352	0.8514352078758055	0.8642820229429491	0.885699198589275	0.7873925024358669	0.8480762693901589	0.8583768550973689	0.6887354211373684	0.7937601466287426	0.7584770961651824	0.8895392101410854	0.6895449887041304	0.7545572257304682	0.5179931206092231	0.6688462648110419	0.7525477117550998	0.6617384236881103	0.6164405009535845
