GeneID	AS	Gout	OB	RA	T2D
1	1	1	1	1	1
1000000	1	1	1	1	1
10000002	1	1	1	1	1
10000004	0	0	1	1	1
10000006	0	0	0	1	0
10000013	0	0	1	1	0
10000021	1	1	1	1	1
10000028	1	0	1	1	1
1000003	1	1	1	1	1
10000031	0	0	0	1	0
10000034	0	0	0	1	0
10000040	0	0	0	1	0
10000041	0	1	1	1	0
10000046	0	0	0	1	0
10000048	1	1	1	1	1
10000052	1	0	1	1	1
10000058	0	0	0	1	0
10000062	1	1	1	1	1
10000063	0	0	0	1	0
10000078	1	0	1	1	1
1000008	1	1	1	1	1
10000084	1	1	1	1	0
10000085	0	0	0	1	0
10000088	1	0	1	1	1
10000089	1	0	1	1	1
10000096	1	0	1	1	1
10000097	1	0	1	1	1
100001	1	1	1	1	1
1000010	1	1	1	1	1
10000105	1	1	1	1	1
1000011	1	1	1	1	1
10000125	1	0	1	1	1
10000126	0	0	0	1	0
10000136	1	1	1	1	1
10000180	0	0	0	1	0
1000019	1	0	0	1	0
10000190	1	0	1	1	0
10000196	1	0	1	1	0
10000198	0	0	0	1	0
10000200	1	1	1	1	1
1000023	0	0	0	1	0
10000245	1	0	1	1	1
10000252	1	1	1	1	1
10000255	0	0	1	1	0
10000262	0	0	0	1	0
10000276	0	1	0	0	0
10000289	1	0	1	1	1
1000029	0	0	1	1	0
100003	1	1	1	1	1
10000300	0	1	1	0	0
10000301	0	1	1	1	1
10000302	1	1	0	1	0
10000303	0	0	0	1	0
10000304	1	1	1	1	1
10000305	0	0	0	1	0
10000308	1	1	1	1	1
10000323	0	1	0	0	0
10000325	0	0	1	0	0
10000327	1	1	1	1	1
10000328	0	0	1	0	0
10000334	0	0	1	0	0
10000335	1	1	1	1	1
10000336	0	0	1	1	1
10000346	0	0	1	1	0
10000350	1	1	1	1	1
10000353	1	0	1	1	0
10000358	0	0	0	1	1
10000359	0	0	0	1	1
10000363	1	1	1	1	1
10000367	1	1	1	1	1
10000369	1	1	1	1	1
10000371	0	0	1	0	0
10000372	1	1	1	1	1
1000038	1	1	1	1	1
10000385	0	0	0	1	0
1000039	0	0	0	1	0
10000395	1	1	1	1	1
10000398	0	0	0	0	1
100004	0	1	0	1	0
1000040	0	0	0	1	0
10000403	0	0	0	0	1
10000410	0	0	0	1	1
10000414	0	0	0	1	0
10000417	0	0	0	0	1
1000042	0	1	1	1	0
10000422	0	0	0	1	0
10000426	0	1	1	1	0
1000043	0	0	0	1	0
10000430	1	1	1	1	1
10000439	0	0	1	1	0
1000044	1	1	1	1	1
10000440	1	1	1	1	1
10000446	1	0	1	1	1
10000447	0	0	1	1	0
10000458	1	1	1	1	1
10000463	1	1	1	1	1
10000464	1	0	1	1	1
10000471	1	1	1	1	1
10000472	1	1	1	1	1
1000048	0	0	1	1	0
10000481	1	1	1	1	1
10000482	1	0	1	0	1
10000485	0	0	0	1	0
10000488	1	0	1	1	1
1000049	1	1	1	1	1
1000050	1	1	1	1	1
10000503	1	1	0	0	0
10000504	1	1	1	1	1
10000506	0	0	1	1	0
10000509	0	0	0	1	0
1000051	1	1	1	1	1
10000512	0	0	0	1	0
10000515	1	0	1	1	1
10000516	1	0	1	1	1
10000529	1	0	1	1	1
10000536	1	1	1	1	1
1000054	1	1	1	1	1
1000055	0	0	0	1	0
10000557	1	1	1	1	1
10000563	1	1	1	1	1
10000565	1	1	0	0	0
1000058	1	1	1	1	1
10000587	0	0	0	1	0
1000059	1	0	1	1	1
100006	1	1	1	1	1
1000060	0	0	0	1	0
10000603	0	0	0	1	0
10000605	0	0	0	1	0
1000061	1	1	1	1	1
10000629	1	0	1	1	1
1000063	0	0	0	1	0
10000631	0	0	0	1	0
1000064	0	0	1	1	0
10000640	1	1	1	1	1
10000641	1	1	1	1	1
1000065	1	1	1	1	1
10000650	0	0	0	1	0
10000656	1	1	1	1	1
1000066	0	0	0	1	0
1000067	0	0	0	1	0
10000673	0	0	0	1	0
10000676	1	1	1	1	1
1000068	1	1	1	1	1
10000683	0	0	0	1	0
10000685	1	0	1	1	0
1000069	0	0	0	1	0
10000692	0	1	1	1	1
10000698	1	0	1	1	1
10000702	0	0	0	1	0
10000710	0	0	0	1	0
10000727	0	0	1	1	0
10000739	0	0	0	1	0
10000747	0	0	1	0	0
10000750	0	0	0	1	0
10000753	1	0	1	1	1
10000766	0	0	1	1	1
10000768	0	0	1	1	0
10000773	1	0	1	1	1
10000775	1	1	1	1	1
10000776	1	1	1	1	1
10000779	0	0	0	1	0
10000780	0	0	0	1	0
10000789	0	0	1	1	0
10000794	0	0	1	1	1
10000804	0	0	0	1	0
10000805	1	1	1	1	1
10000820	0	0	0	1	0
10000835	0	0	1	0	0
10000838	0	0	1	1	0
1000084	1	1	1	1	1
10000850	1	1	1	1	1
10000874	0	0	0	1	0
1000089	1	1	1	1	1
1000090	1	1	1	1	1
10000902	1	1	1	1	1
10000924	1	1	1	1	1
1000093	1	1	1	1	1
10000941	0	0	0	1	0
1000095	1	1	1	1	1
10000964	1	1	0	0	1
10000974	1	1	1	1	1
10000976	0	0	0	1	0
10000978	0	0	0	1	0
10000987	0	1	1	0	1
1000099	0	0	0	1	0
10000992	1	0	1	1	1
10000994	0	0	1	1	0
1000100	1	1	1	1	1
10001008	0	0	0	1	0
1000101	0	0	1	1	0
10001011	1	0	1	1	1
10001014	1	1	1	1	1
10001015	1	1	1	1	1
10001025	1	0	1	1	1
10001028	1	0	1	1	1
10001033	1	1	1	1	1
10001035	0	1	0	0	0
10001036	0	0	0	1	0
1000104	1	1	0	0	0
10001052	1	1	1	1	1
10001055	0	0	1	1	1
10001056	1	0	1	1	0
10001058	1	0	1	1	1
10001060	1	1	1	1	1
10001066	1	0	0	1	0
10001077	1	1	1	1	1
10001078	1	1	1	1	1
10001079	1	0	1	1	1
10001088	0	1	0	0	0
1000109	0	0	0	1	0
10001090	1	1	1	1	1
10001091	1	0	1	1	1
10001094	0	0	0	1	0
10001096	1	0	0	1	0
10001098	0	0	0	1	0
100011	0	1	0	0	0
1000110	1	1	1	1	1
10001101	1	1	1	1	1
10001104	0	0	0	1	0
10001108	1	1	1	1	1
10001109	1	0	1	1	1
1000111	0	0	0	1	0
10001113	0	1	1	0	1
10001114	0	0	1	1	0
1000112	0	0	0	1	0
10001122	1	1	1	1	1
10001125	1	1	1	1	1
10001138	1	1	1	1	1
1000114	1	1	0	0	0
10001141	0	0	0	1	0
10001143	0	1	1	0	0
10001146	0	0	1	1	1
10001162	1	0	1	1	1
10001165	0	0	0	1	0
1000117	0	0	0	1	0
10001176	0	0	1	1	0
10001180	0	0	0	1	0
10001195	1	0	1	1	1
10001197	1	1	0	0	1
1000120	1	1	1	1	1
1000121	0	1	0	0	0
10001215	1	1	1	1	1
10001219	1	0	1	1	1
10001221	1	1	1	1	1
1000123	0	1	0	0	0
10001237	0	0	1	1	0
1000124	1	1	1	1	1
10001245	1	1	1	1	1
10001249	0	0	0	1	0
10001250	1	1	1	1	1
10001254	1	0	1	1	1
10001259	1	0	0	1	0
10001268	0	0	0	1	0
1000127	0	0	0	1	0
10001276	0	0	0	0	1
10001293	1	1	1	1	1
10001308	0	1	1	0	1
10001323	1	1	1	1	1
10001331	0	1	0	0	0
1000134	1	0	0	1	1
10001343	1	1	1	1	1
10001351	1	1	1	1	1
