Taxonomy	AMI22.2	AMI23.2	AMI24.2	AMI25.2	AMI29.2	AMI10.2	AMI11.2	AMI1.2	AMI2.2	AMI30.2	AMI31.2	AMI3.2	AMI32.2	AMI4.2	AMI5.2	AMI6.2	AMI7.2	AMI8.2	AMI13.2	AMI14.2	AMI15.2	AMI17.2	AMI19.2	AMI20.2	AMI21.2	A16.2	A36.2	A38.2	A39.2	A61.2	A62.2	A73.2	A77.2	AMI70.2	AMI71.2	AMI72.2	AMI74.2	AMI75.2	AMI76.2	AMI78.2	AMI79.2	AMI80.2	AMI81.2	AMI82.2	AMI83.2	AMI84.2	AMI85.2	AMI87.2	AMI88.2	AMI90.2	AMI91.2	AMI93.2	AMI95.2	AMI96.2	AMI97.2	AMI98.2	A89.2	A92.2	A94.2	N1	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N2	N20	N21	N22	N23	N24	N25	N26	N27	N28	N29	N3	N30	N31	N32	N33	N34	N35	N36	N37	N38	N39	N4	N40	N41	N42	N43	N44	N45	N5	N6	N7	N8	N9	SAP48	SAP49	SAP50	AMI33.2	AMI34.2	AMI35.2	AMI37.2	AMI40.2	AMI41.2	AMI42.2	AMI43.2	AMI44.2	AMI45.2	AMI46.2	AMI47.2	AMI48.2	AMI49.2	AMI50.2	AMI51.2	AMI52.2	AMI53.2	AMI54.2	AMI55.2	AMI56.2	AMI57.2	AMI58.2	AMI59.2	AMI60.2	AMI63.2	AMI64.2	AMI65.2	AMI66.2	AMI67.2	AMI68.2	N46	N50	SAP1	SAP10	SAP11	SAP12	SAP13	SAP14	SAP15	SAP16	SAP17	SAP18	SAP19	SAP2	SAP20	SAP21	SAP22	SAP23	SAP24	SAP25	SAP26	SAP27	SAP28	SAP29	SAP3	SAP30	SAP31	SAP32	SAP33	SAP34	SAP35	SAP36	SAP37	SAP38	SAP39	SAP4	SAP40	SAP41	SAP42	SAP43	SAP44	SAP45	SAP46	SAP47	SAP5	SAP6	SAP7	SAP8	SAP9	A99.2	A100.2	AMI69.2	AMI12.2	AMI18.2	AMI26.2	AMI27.2	AMI28.2	AMI9.2	N47	N49	Tax_detail
Proteobacteria	0.842821355	0.801387273	0.721461187	0.782554848	0.700112935	0.67318411	0.638774964	0.737570142	0.646778773	0.760074049	0.247128662	0.650689487	0.256997893	0.77727095	0.722642988	0.700979967	0.715494174	0.65764797	0.666901408	0.481316887	0.687025302	0.595254926	0.521096565	0.755787641	0.378829723	0.757734867	0.74471623	0.739833204	0.65842356	0.49109052	0.620969163	0.747572381	0.670482137	0.5240695	0.680373504	0.560223968	0.562052454	0.526560837	0.489302728	0.806241024	0.764685481	0.729261067	0.6132714	0.49407183	0.729049915	0.719090313	0.798626803	0.811086704	0.714614549	0.661593278	0.57362705	0.588001939	0.501329316	0.629300145	0.73435271	0.606677985	0.577943942	0.371238748	0.504635591	0.617078594	0.531901291	0.77459964	0.675868287	0.132956093	0.10706976	0.185663174	0.42558557	0.299195162	0.441277325	0.498264707	0.537541701	0.69506383	0.85686157	0.579216131	0.740295031	0.66284965	0.665197095	0.614374236	0.459401988	0.669349256	0.568933904	0.725600827	0.6935186	0.773164732	0.75580492	0.529909707	0.409672279	0.71348629	0.701646002	0.655541182	0.488499163	0.541203744	0.739834597	0.562893896	0.823317308	0.723376623	0.748774826	0.624130528	0.793529767	0.497364259	0.867795743	0.796694356	0.675788298	0.268830452	0.462062131	0.794833219	0.472564921	0.404689573	0.381216886	0.736383536	0.901907357	0.883935402	0.85130908	0.838753793	0.871092423	0.800952749	0.602025862	0.753194819	0.873823617	0.885675225	0.885845731	0.858453361	0.889049604	0.822903763	0.859681425	0.602180078	0.871019853	0.812799452	0.777102461	0.824724624	0.867274049	0.783137692	0.698922404	0.887104313	0.853536212	0.778680811	0.712999317	0.847849486	0.300171821	0.497396618	0.493232691	0.235155715	0.610080714	0.353888436	0.544824933	0.291797973	0.473513654	0.538640978	0.236903027	0.325570484	0.602243277	0.526539459	0.277346237	0.536165327	0.205096571	0.240532242	0.277370095	0.335945529	0.2988379	0.408083832	0.498247949	0.53717987	0.598516995	0.255968339	0.857411282	0.600687944	0.762333561	0.61596599	0.629917874	0.589482319	0.820050425	0.734553678	0.713260719	0.262121683	0.75239726	0.488536233	0.67412557	0.83544196	0.491549236	0.735289094	0.588449666	0.541907141	0.425747636	0.265219061	0.572217702	0.396485801	0.240086886	0.782170576	0.599285745	0.37159644	0.546947826	0.476927761	0.692803578	0.565328434	0.555839269	0.625476201	0.490827761	0.677507126	k__Bacteria;p__Proteobacteria;
Cyanobacteria	0.009545612	0.065658524	0.043179501	0.011544586	0.00330119	0.018313722	0.034325963	0.008264822	0.149508626	0.004434303	0.025680733	0.01112934	0.035000215	0.006472914	0.005049186	0.035079351	0.02788088	0.11205265	0.007878521	0.013014693	0.017122826	0.00503667	0.008210555	0.001740644	0.028221282	0.002430028	0.005425983	0.005330582	0.003724556	0.015502495	0.005242291	0.008636506	0.00182102	0.007062698	0.011792556	0.014887799	0.008786188	0.010553388	0.007362495	0.035905471	0.003641566	0.009149529	0.004069896	0.218736478	0.022763804	0.008484583	0.010429341	0.006374639	0.008512486	0.013856508	0.009101702	0.032750033	0.005538816	0.003724966	0.02099679	0.007270036	0.014561196	0.012944706	0.050862735	0.205165484	0.222904147	0.020681682	0.007126605	0.108321988	0.089203479	0.106823409	0.030646264	0.133841502	0.05537934	0.039076224	0.133789697	0.016170213	0.007105556	0.096936103	0.047360248	0.006337413	0.004365491	0.009382091	0.019832487	0.022672205	0.040818999	0.008570936	0.017764489	0.005222045	0.010185585	0.063031776	0.035786572	0.043691619	0.010325312	0.018628719	0.008901031	0.00809203	0.00633184	0.009021842	0.025540865	0.018831169	0.011606913	0.242464577	0.010941673	0.033693551	0.004180709	0.026933288	0.105077756	0.547219508	0.006980051	0.038342503	0.022776292	0.0121946	0.015381986	0.046439761	0.009792234	0.009774756	0.012897973	0.041454763	0.0254842	0.021072057	0.00737069	0.021559593	0.035642805	0.011535011	0.016553444	0.036136831	0.012720157	0.028960745	0.018369444	0.013603332	0.027249926	0.009967488	0.017328333	0.006319393	0.021172847	0.014823066	0.006664647	0.010452518	0.004122747	0.004191975	0.148130761	0.004778921	0.119158076	0.012952365	0.212085719	0.476386037	0.167739997	0.302615193	0.240990124	0.449109957	0.257518147	0.166702665	0.572965789	0.578204308	0.326209797	0.365857805	0.648244832	0.367521368	0.649025781	0.622739679	0.664008484	0.539439877	0.622571889	0.449786142	0.057618097	0.330293604	0.217821782	0.615260224	0.023230986	0.124439413	0.0774155	0.114055052	0.188588382	0.077544147	0.066834751	0.102065199	0.114626556	0.093551398	0.067380137	0.156854149	0.166500109	0.076677316	0.436119034	0.116747801	0.151346253	0.193729003	0.373306637	0.480866857	0.203485634	0.323753061	0.494484433	0.001157755	0.002366507	0.005349235	0.004253586	0.013960771	0.006709643	0.003226096	0.006988308	0.006655865	0.002936924	0.021292217	k__Bacteria;p__Cyanobacteria;
Firmicutes	0.039046303	0.03821464	0.053819214	0.071832979	0.036964643	0.063434486	0.063168688	0.07534038	0.059008517	0.050800758	0.121004861	0.077417638	0.143182698	0.070289761	0.052972926	0.075839043	0.084031075	0.060263248	0.02693662	0.143206965	0.062064626	0.189626226	0.119874105	0.062706701	0.508198844	0.054935995	0.047652387	0.03774396	0.081117367	0.129588382	0.121629956	0.060724035	0.073491155	0.060401231	0.062601377	0.072008334	0.086456091	0.148102164	0.302122131	0.054576315	0.080027745	0.050583827	0.056713117	0.046386846	0.063034884	0.108025366	0.07200591	0.058448551	0.091596091	0.090309242	0.118893726	0.135407943	0.276763559	0.138787852	0.105251427	0.167297897	0.11146093	0.030347192	0.203236329	0.076413239	0.178280697	0.079815021	0.11552827	0.192180054	0.206080505	0.178294574	0.159984613	0.154111485	0.137591084	0.128283131	0.135002816	0.079914894	0.052392775	0.163626047	0.063190131	0.11909965	0.074515906	0.127378251	0.066874973	0.065680166	0.08412643	0.081962271	0.082446575	0.066893962	0.057488131	0.16851884	0.131131304	0.058327235	0.092366181	0.115825787	0.195954878	0.125360861	0.091660924	0.121298455	0.05314217	0.07991342	0.073725389	0.041777587	0.045877488	0.14742576	0.060151017	0.078830179	0.084242633	0.107906028	0.366625016	0.066196699	0.395306703	0.119549869	0.120022218	0.087342804	0.042404632	0.046068848	0.046749796	0.055386982	0.056872239	0.066864083	0.098189655	0.077718856	0.036707405	0.038193703	0.022314902	0.041366598	0.04126606	0.062748281	0.05249636	0.172500886	0.039918378	0.063355578	0.07319281	0.053012683	0.035758587	0.061391483	0.04453196	0.020820055	0.017298538	0.049961502	0.031708774	0.030610927	0.472895189	0.053272516	0.212996703	0.163629363	0.124678001	0.233392021	0.126544397	0.166766034	0.130530591	0.133094302	0.111849438	0.061420345	0.037685346	0.055161277	0.05530795	0.048262959	0.082276865	0.088195155	0.042120891	0.079564919	0.052548986	0.069674936	0.162120204	0.071291601	0.101152972	0.078726754	0.069095102	0.159794488	0.094144759	0.132992657	0.088360494	0.223695005	0.054912183	0.102150538	0.074126902	0.227234345	0.060702055	0.173162071	0.067912231	0.037827476	0.040146452	0.05175506	0.087420683	0.078430528	0.124648547	0.145940873	0.144735152	0.175194398	0.159376464	0.026199563	0.018157566	0.436357259	0.122629983	0.377636672	0.074814717	0.039430056	0.053621825	0.106493848	0.082866438	0.042152544	k__Bacteria;p__Firmicutes;
Bacteroidetes	0.015592605	0.013183404	0.03236246	0.03197983	0.01546347	0.016013448	0.016850927	0.006785854	0.008560821	0.011021181	0.276250699	0.01755864	0.231199209	0.00860159	0.007182032	0.03282456	0.029261977	0.005462836	0.017693662	0.154861237	0.03793088	0.034063798	0.025908863	0.017232376	0.022784155	0.014623563	0.015665339	0.012939558	0.020961455	0.020224519	0.026431718	0.01664653	0.021548734	0.013908748	0.014335189	0.014497157	0.019768923	0.016938631	0.009701169	0.007398703	0.012702129	0.015597769	0.02565804	0.015967114	0.02671706	0.021473868	0.017599513	0.018090193	0.013246471	0.020058945	0.019742338	0.0446952	0.028757533	0.022744204	0.016360556	0.059596883	0.056976693	0.011101586	0.021418147	0.046224237	0.025700038	0.042733579	0.145794874	0.55062968	0.582636875	0.506218588	0.348863054	0.391048844	0.308186884	0.262950426	0.084355097	0.163787234	0.046999401	0.023088338	0.037180814	0.05354021	0.130143499	0.088322569	0.023911817	0.036301488	0.030123112	0.025152899	0.037815496	0.027750205	0.03780751	0.05521792	0.021230782	0.031638759	0.060353394	0.124665804	0.205164361	0.14451929	0.047467264	0.202451869	0.048033997	0.077142857	0.071489984	0.038943753	0.022917205	0.047223687	0.020263641	0.029802175	0.04764155	0.054717703	0.031841096	0.032883425	0.044387887	0.225707073	0.218595112	0.021073866	0.007195163	0.003569911	0.015340447	0.012992008	0.009259259	0.032831209	0.041077586	0.023993741	0.005578504	0.003118725	0.011436925	0.007030178	0.004807283	0.012771774	0.011047358	0.014179369	0.007694597	0.008127995	0.018147334	0.007065432	0.002823046	0.010196213	0.009391094	0.003781602	0.003527712	0.009068355	0.00862069	0.006630215	0.023109966	0.0232368	0.021039389	0.078071526	0.033874292	0.047064886	0.045273823	0.067072651	0.067792948	0.064927211	0.051916317	0.011047132	0.006797808	0.010879266	0.00615476	0.005612961	0.026631498	0.013561924	0.004156946	0.010277492	0.003562643	0.017065868	0.069061876	0.019516768	0.032617547	0.021788161	0.017209719	0.04576131	0.032775691	0.046721347	0.020767941	0.022192479	0.014700226	0.024961598	0.037257953	0.089596018	0.045419521	0.103634212	0.018422768	0.00685836	0.00600281	0.006875053	0.038415366	0.016108192	0.047840164	0.076105968	0.045390314	0.068264811	0.085097321	0.01552249	0.002839809	0.056956198	0.013711028	0.009655112	0.031267816	0.021104042	0.038749272	0.007969523	0.055123803	0.032391811	k__Bacteria;p__Bacteroidetes;
Actinobacteria	0.043538355	0.034767998	0.03777098	0.030697098	0.015376596	0.108422543	0.076096648	0.097394406	0.070539419	0.023893577	0.03432701	0.067928879	0.039085007	0.069507798	0.044528598	0.057237013	0.063228312	0.109342739	0.057834507	0.081171776	0.079457103	0.089467173	0.085800301	0.04921671	0.023172521	0.035495769	0.033431059	0.01977474	0.027024686	0.054526016	0.049118943	0.034411778	0.027055151	0.045755882	0.04848538	0.032944138	0.038132056	0.080258957	0.08783023	0.028941985	0.035678675	0.049494597	0.049811988	0.030116833	0.032408011	0.050076536	0.037762906	0.03058104	0.057937025	0.055250077	0.051268522	0.047516199	0.075327898	0.052631579	0.03931883	0.036437247	0.033101579	0.015945135	0.018714053	0.013127512	0.016494054	0.034769204	0.023998626	0.007105174	0.006566604	0.008646392	0.016156608	0.009155559	0.016888127	0.023651399	0.036133616	0.007744681	0.013868676	0.042423184	0.035628019	0.041914336	0.028959198	0.055288881	0.035672438	0.039546556	0.059853314	0.023430097	0.047049512	0.045660524	0.068105309	0.054783817	0.35984669	0.068098661	0.072320387	0.037300561	0.042169736	0.049995626	0.024465886	0.064102564	0.02159169	0.053419913	0.039205571	0.018205238	0.040234341	0.043797224	0.014120558	0.025520253	0.03453905	0.00743447	0.023525357	0.020331843	0.020317488	0.028454067	0.018244744	0.034765441	0.02167064	0.041818955	0.012683721	0.032992863	0.022680938	0.037809536	0.029310345	0.055333391	0.024059958	0.042722263	0.013629719	0.031978738	0.02739726	0.045918585	0.023893123	0.06961184	0.03702759	0.055099247	0.035475667	0.039803397	0.030882416	0.069017222	0.060933916	0.033057149	0.06566644	0.061810249	0.03768351	0.037585569	0.029166667	0.023279831	0.022384175	0.007144079	0.017430878	0.012668012	0.009533581	0.007324759	0.016807812	0.030930062	0.008702735	0.007720196	0.006372945	0.00696953	0.005857634	0.006888634	0.016081001	0.006482429	0.003902439	0.010791367	0.004283654	0.013473054	0.064626303	0.010056675	0.0120012	0.006681135	0.010163556	0.026472765	0.011864117	0.017992872	0.017715097	0.022322007	0.010127772	0.011478068	0.01836964	0.052664326	0.019263699	0.021480864	0.024158158	0.010181044	0.01392141	0.011102571	0.093165838	0.026445	0.008605265	0.007337571	0.009420631	0.012072002	0.006644235	0.019038635	0.018415731	0.027360021	0.068419385	0.03253164	0.041968162	0.044448427	0.03565829	0.144940229	0.15687692	0.025049667	k__Bacteria;p__Actinobacteria;
Fusobacteria	0.00107982	0.000775494	0.001108303	0.001326964	0.002389019	0.010483942	0.001381954	0.000956979	0.005809129	0.010762872	0.240590184	0.00252738	0.243582577	0.000781963	0.004265692	0.020726737	0.020414329	0.001419477	0.000528169	0.000997642	0.001572963	0.000883626	0.0141404	0.001392515	0.001035643	0.001128227	0.004332035	0.002880234	0.002944998	0.026951176	0.002114537	0.001521457	0.001777662	0.000519953	0.002191925	0.001388949	0.001098274	0.006828663	0.00177566	0.000522261	0.001083799	0.000871384	0.002477328	0.00164431	0.002128676	0.006035425	0.001738224	0.00090451	0.000564604	0.002595346	0.004177109	0.00185128	0.006292095	0.001796748	0.001292796	0.001001262	0.000131182	0.000385769	0	0.000213803	0.000639304	0.000471011	0.00064397	4.25E-05	4.26E-05	0.000383338	0.000213712	8.52E-05	0.000342906	0.000385621	0.00060656	0.000297872	0.000428046	0.001134777	0.000733264	0.000437063	0.000216113	0.001527317	0.00030378	0.011076497	0.000742164	0.00051684	0.002198575	0.000863148	0.000776867	0.000564334	0.000947418	0.000645689	0.000820841	0.000905563	0.000528774	0.001180999	0.002196761	0.001079168	8.59E-05	0.000822511	0.000816783	0.000386432	0.001076936	0.001801089	0.000127981	0.00055665	0.000558467	4.25E-05	0.001809643	0.001461486	0.000388232	0.187283385	0.218723295	0.003304863	0.006769414	0.00361241	0.005570553	0.003889055	0.00382263	0.009098322	0.014181034	0.000695471	0.001831112	0.000726278	0.001074899	0.000428669	0.000680677	0.003588057	0.002569153	0.000620347	0.00080772	0.001839493	0.000517264	0.001272655	0.000299414	0.001156713	0.000476046	0.000509879	0.000212513	0.001026606	0.000469443	0.001377707	0.002878007	0.004690391	0.000520562	0.000342231	0.000300532	0.000901791	0.000726775	0.000681373	0.000475285	0.000734373	0.000214353	0.000511836	0.000297404	0.000382474	0.000212233	0.000807926	0.000297796	0.00017059	0.00038176	0.000385406	8.48E-05	0.000898204	0.00062098	0.000255678	0.001328704	0.000297885	0.000597856	0.001306222	0.00051212	0.000858848	0.000257987	0.000906697	0.000854664	0.000896057	0.000561895	0.000222212	0.000599315	0.000964447	0.001260048	0.000340788	0.000553451	0.001409172	0.00030012	0.000689121	0.000340803	0.000255962	0.000942063	0.000644413	0.000255548	0	0.000301192	0.000131539	0.001538531	0.000173966	0.002762794	0.002464379	0.004390091	0.000744406	0.000677752	0.000820593	k__Bacteria;p__Fusobacteria;
Euryarchaeota	0.000172771	0.000990909	0.000310325	0	0.000217184	0.00044236	0.000356633	0	8.74E-05	0.000258309	8.60E-05	0.0002217	4.30E-05	0.000173769	0.000391747	0	0.000172637	0.000129043	0.00022007	9.07E-05	0.000674127	0.000132544	0.001231583	8.70E-05	0.000129455	0.000303754	0.00275675	0.000773794	0.003551321	0.000801853	0.000440529	0.001834698	0.000607007	0.002946401	0.002542633	0.000868093	0.002416202	0.001285917	8.66E-05	0.001262132	0.000173408	0.000392123	0.000398142	0.000951969	0.002128676	0.00061229	4.35E-05	0.000473791	0.000390879	0.0003959	0.001363057	0.019967382	0.006912442	0.000350585	0.000668688	0.002046058	0.088897634	0.004243463	0.003905915	0.000171043	0.000127861	0.000471011	0.000257588	0	0	0.000170372	8.55E-05	0.000383256	0.00025718	0.00025708	0.002122958	0.000340426	0.001797791	0.002444134	0.003278123	0.053758741	0.001080567	0.008160237	0.010415311	0.002682589	0.003143281	0.003230252	0.000615601	0.001381037	0.002157963	0.000651155	0.00038758	0.000817873	0.001339266	0.001681759	0.000352516	0.002055813	0.001162991	0.000604334	0.005108173	0.001601732	0.001762531	0.000515243	0.000560007	0.001493586	0.001066507	0.001027661	0.000687344	0.000127448	0.000560128	0.001074622	0.001941161	0	0.000213639	8.58E-05	0	0	0.000299953	0.001410317	0	8.58E-05	0.000301724	0	0.00021292	0	0.000257976	0.000728738	0	0.000213575	0.000214096	0.000398795	0	0	0.000129316	4.39E-05	0	0.000428412	0	0	0	4.28E-05	0	4.31E-05	0.003264605	0.000817591	0.003817456	0.000556126	0.003477589	0.000300597	0.000684024	0.000425858	0.008771172	0.000215992	0.000471577	0.000639795	0.00080724	0.000637457	0.000424466	0.000637836	0.002297286	0.000895599	4.24E-05	0.000342583	0.00016965	0.000299401	0.020714127	0.000170452	0.000771506	8.51E-05	0.000683264	0.002046414	0.000341413	0.000644136	0.002063895	0.000388584	0.000811931	0.001365421	0.001210235	0.153415404	4.28E-05	0.000613739	0.002259396	0.000894569	0.000638597	0.000640533	0.007202881	0.004909984	0.000340803	0.000170641	0.000385389	0.000687374	0.000298139	0.000257279	4.30E-05	0.010040777	0.002669804	4.35E-05	0.000131562	0.000492876	0.056040855	0	0.000225917	0.000993349	k__Archaea;p__Euryarchaeota;
Acidobacteria	0.007342778	0.006936366	0.023407368	0.013092711	0.009729824	0.023179687	0.022869116	0.021662534	0.019480236	0.021913208	0.014969674	0.01844544	0.01393129	0.016812199	0.025811787	0.020553291	0.015839448	0.008947006	0.040360915	0.040994014	0.041750933	0.027480781	0.049856315	0.018059182	0.007681022	0.01019744	0.015184002	0.007608976	0.008705067	0.018754455	0.013656388	0.012663892	0.006807145	0.007929286	0.017842269	0.008550718	0.010016254	0.016007449	0.0078822	0.007833921	0.005072181	0.012809341	0.046494138	0.009519688	0.01042617	0.013907719	0.008647662	0.00594392	0.007513572	0.020982712	0.022776239	0.013531979	0.019585253	0.011043429	0.011724322	0.007357102	0.008220735	0.004672096	0.003905915	0.00953562	0.002685079	0.005052668	0.003005195	0.001148741	0.001662971	0.00153335	0.001923406	0.00191628	0.002786112	0.007669566	0.009141718	0.002	0.002011814	0.007768855	0.005564182	0.010227273	0.023945367	0.008203875	0.010198325	0.008047767	0.012835065	0.006374365	0.010157418	0.005869406	0.005697022	0.005903803	0.006761121	0.007274762	0.005097853	0.00444157	0.01123645	0.010585251	0.006891799	0.004144004	0.003348214	0.005194805	0.005588513	0.002361529	0.0043939	0.024248814	0.003242183	0.004067826	0.006443853	0.000934619	0.006936964	0.002922971	0.008066603	0.002909589	0.002691848	0.009614147	0.001447548	0.002719932	0.005784805	0.002478738	0.001529052	0.00545041	0.00875	0.021472659	0.002214368	0.004400393	0.008642188	0.003943759	0.002339828	0.002947332	0.002868888	0.032213754	0.002083068	0.004876797	0.007543429	0.012068285	0.012404294	0.006683232	0.050374345	0.006415976	0.01266576	0.007057918	0.006188119	0.009687002	0.003436426	0.006454667	0.004164498	0.001540041	0.003606388	0.003134796	0.001496302	0.001405332	0.005400968	0.00652296	0.002400755	0.001279591	0.001317075	0.001232417	0.000764039	0.00123315	0.001318812	0.000639713	0.000805938	0.002740665	0.000593774	0.002352438	0.050121978	0.002002812	0.002571686	0.00144687	0.00350173	0.006487569	0.002560601	0.003521278	0.004299781	0.006346876	0.002820392	0.002602833	0.004970609	0.023687836	0.004023973	0.007671737	0.004518792	0.002768903	0.001958363	0.002775643	0.003858686	0.004694633	0.001107608	0.000725225	0.002826189	0.002448769	0.000979599	0.011491789	0.025214061	0.023720787	0.020317661	0.022876528	0.022672455	0.048301819	0.021860861	0.018128476	0.035966022	0.005744148	k__Bacteria;p__Acidobacteria;
Nitrospirae	0.000431928	0.000473913	0.000842311	0.001061571	0.000521241	0.004733257	0.004502496	0.003392927	0.00279537	0.001765111	0.000860326	0.00230568	0.000902954	0.002649985	0.003699835	0.002124707	0.002071644	0.00154852	0.003961268	0.004035915	0.004359355	0.00366705	0.011540391	0.002132289	0.001121947	0.001128227	0.002056623	0.000687817	0.001515808	0.002984676	0.002070485	0.002505929	0.001864377	0.000996577	0.002191925	0.000998307	0.002591925	0.002350124	0.001342573	0.00121861	0.000780336	0.001307076	0.00376023	0.00099524	0.00273687	0.002274218	0.001303668	0.001206013	0.000955483	0.001759557	0.001802752	0.002776921	0.003190358	0.001183225	0.001738588	0.001567193	0.001268092	0.000685812	0.000686754	0.000641409	0.000852406	0.000685107	0.000515176	0.000170184	0.000170561	8.52E-05	0.000341939	4.26E-05	0.000471496	0.000514161	0.000736537	0.00012766	0.000214023	0.001003841	0.000862664	0.001267483	0.000734786	0.000960028	0.00121512	0.000951886	0.000829477	0.001162891	0.000923402	0.000863148	0.000690548	0.000868206	0.001076612	0.000645689	0.000345617	0.000776197	0.001542258	0.000787333	0.00103377	0.000431667	0.000171703	0.001125541	0.000429886	0.000343495	0.000603084	0.001537515	0.000341282	0.000471011	0.001159893	0.000254896	0.002068163	0.000472834	0.001078423	0.000470669	0.000256366	0.001716812	0.000425749	0.000424989	0.000428504	0.000341895	0.000127421	0.000858332	0.000991379	0.003303486	0.000383256	0.000512667	0.000730931	0.000342936	8.51E-05	0.000811584	0.00055665	0.011653669	0.000297581	0.001326146	0.001206949	0.002764734	0.00136875	0.001499443	0.001255031	0.000807308	0.003272696	0.002181538	0.001365654	0.00206656	0.00064433	0.001592151	0.000607323	0.000128337	0.000257599	0.001202388	0.000213757	0.000298101	0.00095057	0.000734373	0.000257224	0.000127959	0.000212431	0.000254983	8.49E-05	0.000255135	0.000212712	4.26E-05	0.000169671	0.000256937	8.48E-05	0.000384944	0.003681526	0.000170452	0.000385753	0.00034044	0.000725968	0.00060957	0.000341413	0.000343539	0.000429978	0.00250421	0.000470065	0.000213347	0.000389004	0.002311008	0.000684932	0.001183639	0.000521399	0.000340788	0.000212866	0.00076864	0.000557366	0.00038763	0.000298202	0.000298622	0.000599495	0.000558491	0.000212956	0.001415034	0.002667699	0.005086158	0.003348568	0.003435828	0.00157874	0.003360516	0.001254312	0.00683102	0.007861919	0.001338862	k__Bacteria;p__Nitrospirae;
Chloroflexi	0.002246026	0.002024902	0.003147582	0.002919321	0.00291026	0.011722552	0.007935093	0.007046848	0.007032103	0.003831583	0.003011141	0.0064293	0.002450875	0.006994222	0.006093845	0.005203365	0.005610703	0.004387474	0.005501761	0.00979503	0.010651207	0.005964478	0.02098253	0.0051349	0.002718564	0.003341289	0.00507592	0.001762531	0.004937202	0.009577691	0.005947137	0.011724169	0.003425251	0.004072967	0.00438385	0.002951517	0.00935729	0.009666548	0.002901689	0.004743874	0.003598214	0.003049843	0.005839416	0.002899178	0.005951605	0.00607916	0.003128802	0.001938235	0.004039088	0.005982492	0.005540166	0.007361044	0.010368664	0.003900259	0.009406205	0.004658047	0.004285277	0.001285898	0.001502275	0.000641409	0.001363849	0.000813565	0.000772764	0.000425459	0.000341122	0.000638896	0.000897589	0.00085168	0.000557222	0.001071168	0.001992981	0.000255319	0.000385241	0.003709846	0.001940994	0.004851399	0.001728907	0.004581951	0.005251052	0.003504673	0.003361565	0.002325782	0.002858148	0.005092573	0.002977989	0.002604619	0.002885319	0.001850975	0.001252862	0.002587322	0.004318322	0.005030181	0.00241213	0.001510835	0.002189217	0.002207792	0.001547588	0.000815801	0.002843112	0.003690037	0.000725225	0.001712769	0.002233869	0.00046731	0.00224051	0.000687758	0.002458804	0.000898549	0.001538199	0.003605305	0.000723774	0.00080748	0.000857008	0.000897474	0.000339789	0.000858332	0.002112069	0.005302964	0.001405272	0.001110779	0.001332875	0.000643004	0.000510508	0.001025159	0.001498673	0.018211627	0.001572929	0.002951745	0.004267425	0.013165401	0.003806835	0.002998886	0.004760462	0.003526662	0.009180551	0.003593122	0.003328781	0.007792655	0.002147766	0.00309824	0.001995488	0.00196783	0.001889061	0.002104178	0.001453551	0.001149817	0.001771517	0.001943928	0.001500472	0.000725101	0.00080724	0.00089244	0.000594253	0.000935493	0.000893389	0.000639713	0.000254507	0.000770812	0.000466537	0.000470488	0.006919494	0.000937487	0.000857229	0.000638325	0.001323825	0.00296077	0.001194947	0.001460042	0.001590919	0.002849618	0.001922995	0.002176139	0.001945021	0.005999733	0.001284247	0.00583052	0.001346948	0.001107561	0.000979182	0.001665386	0.001457726	0.001335171	0.000255602	0.000767885	0.000984884	0.001331787	0.001149964	0.001543673	0.002624672	0.019643092	0.01036246	0.004958031	0.002675087	0.007572363	0.003046186	0.00713754	0.008358937	0.001684374	k__Bacteria;p__Chloroflexi;
