	Control vs STEMI	Control vs CHD	CHD vs STEMI
AC1	lessp_png	no_sig_png	no_sig_png
AD3	lessp_png	lessp_png	p_png
Acidobacteria	p_png	p_png	p_png
Actinobacteria	lessp_png	p_png	p_png
Armatimonadetes	no_sig_png	p_png	p_png
BRC1	lessp_png	p_png	no_sig_png
Bacteroidetes	p_png	p_png	p_png
Caldithrix	p_png	no_sig_png	p_png
Chlamydiae	p_png	no_sig_png	p_png
Chlorobi	lessp_png	no_sig_png	p_png
Chloroflexi	p_png	no_sig_png	p_png
Crenarchaeota	p_png	no_sig_png	p_png
Cyanobacteria	p_png	p_png	p_png
Deferribacteres	no_sig_png	lessp_png	p_png
Elusimicrobia	lessp_png	p_png	no_sig_png
Euryarchaeota	p_png	no_sig_png	p_png
Fibrobacteres	p_png	no_sig_png	p_png
Firmicutes	p_png	no_sig_png	p_png
Fusobacteria	p_png	no_sig_png	p_png
GAL15	no_sig_png	p_png	p_png
Gemmatimonadetes	p_png	no_sig_png	p_png
Lentisphaerae	lessp_png	no_sig_png	lessp_png
NC10	lessp_png	no_sig_png	no_sig_png
Nitrospirae	p_png	lessp_png	p_png
OP8	lessp_png	lessp_png	no_sig_png
OP9	p_png	no_sig_png	p_png
Others	no_sig_png	p_png	p_png
Planctomycetes	p_png	p_png	p_png
Proteobacteria	p_png	lessp_png	p_png
SBR1093	lessp_png	no_sig_png	p_png
Spirochaetes	p_png	no_sig_png	p_png
TM6	no_sig_png	lessp_png	p_png
TM7	p_png	p_png	no_sig_png
Tenericutes	lessp_png	no_sig_png	lessp_png
Verrucomicrobia	lessp_png	p_png	p_png
WPS-2	no_sig_png	lessp_png	p_png
WS3	p_png	no_sig_png	p_png
WWE1	no_sig_png	lessp_png	lessp_png
