Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	CA-A CANCER JOURNAL FOR CLINICIANS	32,410	223.679	0.07737
2	Nature Reviews Materials	7,901	74.449	0.03387
3	NEW ENGLAND JOURNAL OF MEDICINE	344,581	70.67	0.6867
4	LANCET	247,292	59.102	0.42787
5	NATURE REVIEWS DRUG DISCOVERY	32,266	57.618	0.05489
6	CHEMICAL REVIEWS	188,635	54.301	0.26717
7	Nature Energy	11,113	54	0.04063
8	NATURE REVIEWS CANCER	50,529	51.848	0.07408
9	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	156,350	51.273	0.30081
10	NATURE REVIEWS IMMUNOLOGY	41,499	44.019	0.08022
11	NATURE REVIEWS GENETICS	36,697	43.704	0.07926
12	NATURE REVIEWS MOLECULAR CELL BIOLOGY	45,869	43.351	0.09136
13	NATURE	745,692	43.07	1.28501
14	SCIENCE	680,994	41.037	1.07019
15	CHEMICAL SOCIETY REVIEWS	139,751	40.443	0.24709
16	NATURE MATERIALS	97,792	38.887	0.17738
17	REVIEWS OF MODERN PHYSICS	50,151	38.296	0.0518
18	CELL	242,829	36.216	0.57185
19	LANCET ONCOLOGY	48,822	35.386	0.14677
20	NATURE REVIEWS MICROBIOLOGY	29,637	34.648	0.05461
21	Nature Reviews Clinical Oncology	9,626	34.106	0.03189
22	World Psychiatry	5,426	34.024	0.0141
22	World Psychiatry	5,426	34.024	0.0141
24	Nature Nanotechnology	63,245	33.407	0.15496
25	Energy & Environmental Science	81,176	33.25	0.16014
26	NATURE REVIEWS NEUROSCIENCE	43,107	33.162	0.06848
27	Annual Review of Astronomy and Astrophysics	11,821	33.069	0.0193
28	Nature Reviews Disease Primers	4,339	32.274	0.01974
29	NATURE BIOTECHNOLOGY	60,971	31.864	0.15814
30	Nature Photonics	43,932	31.583	0.11606
31	NATURE MEDICINE	79,243	30.641	0.16284
32	Nature Reviews Chemistry	1,531	30.628	0.00672
33	LANCET NEUROLOGY	30,748	28.755	0.06946
34	NATURE METHODS	64,324	28.467	0.20509
35	PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	28,380	28.295	0.03056
36	JOURNAL OF CLINICAL ONCOLOGY	154,029	28.245	0.28175
37	Living Reviews in Relativity	2,819	27.778	0.00521
38	BMJ-British Medical Journal	112,901	27.604	0.15276
39	LANCET INFECTIOUS DISEASES	23,088	27.516	0.07335
40	Annual Review of Biochemistry	20,344	26.922	0.02545
41	PROGRESS IN ENERGY AND COMBUSTION SCIENCE	11,322	26.467	0.00838
42	Cancer Discovery	13,715	26.37	0.06481
43	ADVANCES IN PHYSICS	5,903	26.1	0.00448
44	ADVANCED MATERIALS	229,186	25.809	0.40939
45	NATURE GENETICS	93,920	25.455	0.22138
46	Advanced Energy Materials	50,724	24.884	0.12061
47	Nature Reviews Endocrinology	8,908	24.646	0.0263
48	Lancet Diabetes & Endocrinology	7,961	24.54	0.03868
49	PROGRESS IN POLYMER SCIENCE	26,152	24.505	0.02244
50	Materials Today	12,566	24.372	0.01883
51	PHYSIOLOGICAL REVIEWS	28,672	24.25	0.02683
52	CANCER CELL	36,056	23.916	0.09105
53	PROGRESS IN MATERIALS SCIENCE	14,580	23.725	0.01682
54	Nature Reviews Gastroenterology & Hepatology	8,506	23.57	0.0254
55	NATURE IMMUNOLOGY	44,298	23.53	0.09425
56	EUROPEAN HEART JOURNAL	57,358	23.239	0.12592
57	Nature Chemistry	32,858	23.193	0.09192
58	CIRCULATION	166,484	23.054	0.21129
59	Lancet Respiratory Medicine	7,600	22.992	0.03886
60	IEEE Communications Surveys and Tutorials	16,408	22.973	0.03965
61	JAMA Oncology	9,488	22.416	0.04834
62	Cell Metabolism	34,829	22.415	0.09955
63	MATERIALS SCIENCE & ENGINEERING R-REPORTS	7,206	22.25	0.00625
63	Psychological Science in the Public Interest	1,437	22.25	0.00305
65	Nature Climate Change	23,544	21.722	0.0981
65	Nature Climate Change	23,544	21.722	0.0981
67	ACCOUNTS OF CHEMICAL RESEARCH	69,687	21.661	0.13179
68	IMMUNITY	51,051	21.522	0.12609
69	Cell Stem Cell	24,628	21.464	0.08703
70	Annual Review of Immunology	17,013	21.429	0.02221
71	Nature Reviews Neurology	9,548	21.155	0.03106
72	NATURE NEUROSCIENCE	63,390	21.126	0.1647
73	INTERNATIONAL MATERIALS REVIEWS	5,262	21.086	0.00496
74	JAMA Internal Medicine	15,215	20.768	0.09558
75	Nature Physics	36,156	20.113	0.11532
76	Annual Review of Psychology	20,230	19.755	0.02279
76	Annual Review of Psychology	20,230	19.755	0.02279
78	Nature Reviews Nephrology	5,767	19.684	0.01708
79	Science Robotics	898	19.4	0.00243
80	ANNALS OF INTERNAL MEDICINE	57,057	19.315	0.09602
81	GASTROENTEROLOGY	74,469	19.233	0.10492
82	INTENSIVE CARE MEDICINE	22,631	18.967	0.04013
83	JOURNAL OF HEPATOLOGY	40,643	18.946	0.08441
84	Annual Review of Plant Biology	19,024	18.918	0.0169
85	PHARMACOLOGICAL REVIEWS	12,653	18.886	0.01195
86	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	100,986	18.639	0.19329
87	Nature Reviews Rheumatology	7,761	18.545	0.02165
88	Lancet Psychiatry	4,887	18.329	0.0221
88	Lancet Psychiatry	4,887	18.329	0.0221
90	Chem	3,493	18.205	0.01131
91	ACTA NEUROPATHOLOGICA	20,206	18.174	0.04166
92	GUT	43,400	17.943	0.06814
93	Annual Review of Physiology	9,562	17.902	0.01281
94	CELL RESEARCH	15,131	17.848	0.03868
95	CLINICAL MICROBIOLOGY REVIEWS	19,194	17.75	0.02118
96	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	55,828	17.73	0.06882
97	NATURE CELL BIOLOGY	40,615	17.728	0.08243
98	Nature Reviews Cardiology	6,301	17.42	0.01882
99	EUROPEAN UROLOGY	30,782	17.298	0.07093
100	Annual Review of Fluid Mechanics	12,706	17.214	0.01127
101	BEHAVIORAL AND BRAIN SCIENCES	9,377	17.194	0.01024
101	BEHAVIORAL AND BRAIN SCIENCES	9,377	17.194	0.01024
103	Science Translational Medicine	30,485	17.161	0.12198
104	Nature Biomedical Engineering	1,540	17.135	0.00644
105	TRENDS IN BIOCHEMICAL SCIENCES	17,448	16.889	0.03138
106	Annual Review of Materials Research	8,086	16.816	0.00783
107	REVIEWS OF GEOPHYSICS	11,762	16.725	0.01289
108	REPORTS ON PROGRESS IN PHYSICS	18,176	16.62	0.03178
109	TRENDS IN CELL BIOLOGY	14,380	16.588	0.03412
110	Nano Today	7,980	16.582	0.01295
111	BLOOD	161,827	16.562	0.24072
112	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	63,074	16.494	0.09117
113	PSYCHOLOGICAL BULLETIN	50,710	16.405	0.0271
113	PSYCHOLOGICAL BULLETIN	50,710	16.405	0.0271
115	ACS Energy Letters	10,134	16.331	0.03135
116	TRENDS IN COGNITIVE SCIENCES	27,095	16.173	0.04004
116	TRENDS IN COGNITIVE SCIENCES	27,095	16.173	0.04004
118	JAMA Psychiatry	10,894	15.916	0.05556
118	JAMA Psychiatry	10,894	15.916	0.05556
120	Lancet Global Health	6,109	15.873	0.03425
120	Lancet Global Health	6,109	15.873	0.03425
122	CIRCULATION RESEARCH	52,988	15.862	0.07229
123	Advanced Science	8,129	15.804	0.02103
124	Cell Host & Microbe	17,787	15.753	0.06326
125	ADVANCED FUNCTIONAL MATERIALS	95,431	15.621	0.17597
126	FUNGAL DIVERSITY	4,234	15.596	0.00641
127	Annual Review of Condensed Matter Physics	2,763	15.588	0.01119
128	Nano Energy	37,106	15.548	0.08725
129	ADVANCED DRUG DELIVERY REVIEWS	36,350	15.519	0.03743
130	DIABETES CARE	71,305	15.27	0.09621
131	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	11,790	15.255	0.01061
132	TRENDS IN ECOLOGY & EVOLUTION	36,697	15.236	0.03592
133	Annual Review of Marine Science	3,870	15.225	0.00837
134	JOURNAL OF PINEAL RESEARCH	10,695	15.221	0.01056
135	ENDOCRINE REVIEWS	13,381	15.167	0.0089
136	ASTRONOMY AND ASTROPHYSICS REVIEW	1,788	15.143	0.00373
137	HEPATOLOGY	65,892	14.971	0.09524
138	MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	26,534	14.874	0.09804
139	SURFACE SCIENCE REPORTS	4,655	14.824	0.00247
140	MOLECULAR BIOLOGY AND EVOLUTION	46,915	14.797	0.0922
141	Lancet HIV	2,417	14.753	0.01427
142	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY	550,343	14.695	0.6747
143	Living Reviews in Solar Physics	1,071	14.625	0.00261
144	MOLECULAR CELL	62,812	14.548	0.17068
145	Nature Geoscience	24,174	14.48	0.0742
146	Alzheimers & Dementia	13,341	14.423	0.03634
147	NEURON	95,348	14.403	0.21868
148	Materials Horizons	4,587	14.356	0.01371
149	Nature Microbiology	4,996	14.3	0.02742
150	ANNALS OF THE RHEUMATIC DISEASES	44,754	14.299	0.08282
151	APPLIED CATALYSIS B-ENVIRONMENTAL	74,797	14.229	0.09229
152	ANNALS OF ONCOLOGY	40,751	14.196	0.10362
153	JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY	51,978	14.11	0.07625
154	Annual Review of Clinical Psychology	5,555	14.098	0.01112
154	Annual Review of Clinical Psychology	5,555	14.098	0.01112
156	GENOME BIOLOGY	38,920	14.028	0.13331
157	TRENDS IN PLANT SCIENCE	21,520	14.006	0.02408
158	Light-Science & Applications	5,894	14	0.01917
159	EUROPEAN JOURNAL OF HEART FAILURE	13,107	13.965	0.02762
160	Advances in Optics and Photonics	2,494	13.963	0.00523
161	ACS Nano	152,659	13.903	0.32571
162	Annual Review of Pathology-Mechanisms of Disease	4,585	13.833	0.00847
163	TRENDS IN BIOTECHNOLOGY	15,857	13.747	0.01923
164	PSYCHOTHERAPY AND PSYCHOSOMATICS	3,892	13.744	0.0058
